Age,Gender,Annual Income,Spending Score
39,0,81494,66
85,0,59981,38
60,0,91707,89
85,1,31207,51
82,0,160112,44
44,1,199826,4
48,1,124952,1
21,0,42522,48
87,1,54581,94
41,1,68045,37
52,0,141101,30
76,0,74629,27
72,0,70373,4
67,1,22820,19
32,0,83620,77
71,0,96598,33
38,1,55259,53
57,0,26527,59
80,1,152277,50
60,1,150622,51
53,1,177668,26
84,0,138972,90
26,1,52463,75
34,0,139068,63
67,0,193657,23
31,0,154450,38
81,0,116964,89
67,1,122895,41
32,0,176367,2
32,0,118656,21
81,1,68370,93
77,1,105926,7
27,0,124703,17
59,0,147027,49
37,0,110855,1
47,1,70702,66
28,1,82523,10
63,1,42330,88
18,1,178560,90
55,1,129907,39
46,0,134580,1
72,0,107376,38
78,0,125187,95
62,1,186372,61
60,0,127462,31
76,0,74630,37
32,1,95027,5
77,0,126515,52
56,1,166446,89
64,1,158708,2
67,0,120643,87
52,1,57458,35
58,0,29260,83
50,1,190730,46
54,0,184263,13
23,1,142365,37
59,1,193543,47
22,0,129465,92
77,1,65179,75
53,1,30343,26
46,0,38876,73
57,1,135290,39
76,0,189305,39
34,1,151112,35
89,1,66323,86
34,0,174069,15
64,1,76655,16
24,1,143372,25
55,0,111764,18
84,1,142286,39
72,0,148326,95
53,0,101061,61
85,1,161924,26
85,0,173245,84
45,1,196725,19
43,0,20953,32
86,0,109022,29
19,0,129516,21
45,0,164003,51
36,0,27840,36
51,0,145171,71
38,1,26427,39
27,1,56203,32
19,1,82173,10
81,1,54017,17
72,1,54956,2
78,1,186007,97
53,1,160578,6
83,0,178348,29
77,0,169719,55
54,0,165825,98
42,1,193045,89
70,1,78287,3
29,0,118684,34
88,1,116405,39
37,1,121849,4
22,0,143719,41
21,0,101576,83
36,0,26334,57
50,1,157555,17
53,1,74738,55
70,1,129521,31
38,0,137145,59
58,1,38318,60
48,0,91467,69
51,0,45879,15
27,1,52391,41
33,0,119850,56
76,0,170078,6
79,1,117332,26
52,0,174466,55
85,0,101361,96
18,1,98304,58
41,0,144752,78
82,0,24320,23
54,1,106714,20
22,1,194907,76
75,1,85799,96
71,1,63982,75
41,0,87073,25
90,0,140436,10
21,0,90740,56
69,1,174694,43
75,0,71474,91
70,1,56374,7
40,1,88459,95
23,0,133914,44
41,0,182523,79
34,1,183346,22
78,0,136769,33
40,1,20733,51
20,0,41393,30
73,1,36205,21
47,0,65662,57
56,1,97772,74
71,0,197836,15
57,0,54469,10
60,0,124047,98
73,1,81323,70
82,0,39391,26
48,1,101082,26
77,0,109549,74
59,1,194924,40
60,1,178052,54
23,0,106726,22
45,1,198713,19
63,1,92958,25
18,1,159187,56
71,1,93430,16
24,0,42163,74
71,0,122521,66
87,0,135385,78
44,1,183922,2
70,1,20908,68
58,0,173955,56
88,0,94293,83
26,0,21649,59
69,0,180330,53
73,1,37561,86
88,0,81898,73
64,1,101560,75
85,1,44607,13
64,1,173348,84
63,0,127435,77
64,1,170870,72
21,1,129790,7
79,1,80187,83
83,1,159614,8
76,1,89407,16
67,1,153531,59
85,0,198777,89
59,1,78594,19
55,1,85115,91
39,1,193628,85
77,0,102407,100
34,0,89281,56
86,1,82548,60
40,0,103640,52
68,0,91405,1
79,1,123445,66
29,1,137270,66
83,1,171348,63
41,0,141119,40
82,0,127526,14
75,0,185054,47
78,0,107494,94
53,1,57688,10
78,1,149736,44
75,1,50256,78
66,0,134911,59
86,0,74521,6
29,1,148755,82
19,0,161632,9
68,1,38528,98
84,1,22909,75
67,0,187832,10
46,0,95914,81
55,0,153041,38
84,1,76245,50
67,1,129619,38
69,0,198222,25
65,1,119444,93
78,1,38448,48
40,1,97741,52
72,0,164386,46
54,1,91225,28
19,0,122126,46
62,0,54526,76
55,1,158515,50
26,0,154839,83
51,1,154021,71
51,1,191537,41
34,1,66604,91
79,0,69881,29
53,0,85717,13
49,0,190332,53
48,1,26077,52
23,0,174708,85
80,0,156773,67
19,0,169276,95
79,0,95639,76
75,0,124498,27
44,0,120679,77
52,1,152295,91
69,1,165227,27
66,0,159783,32
38,0,175705,31
64,0,137245,60
45,0,194383,4
73,0,59263,35
63,0,95665,99
73,1,48069,82
83,0,113215,70
74,1,53856,23
39,0,172160,6
86,0,72309,54
41,1,49545,43
57,0,120031,39
69,1,167306,54
66,1,89511,46
40,1,55208,16
60,0,108863,80
46,0,181242,98
88,1,169138,100
57,0,164003,55
51,0,37102,43
70,1,55667,22
64,0,176766,68
81,1,196637,74
20,0,184387,40
58,1,104660,47
77,0,139804,22
41,0,174504,52
86,1,52216,62
40,1,80082,79
43,0,127348,7
56,1,48666,47
74,0,40689,75
82,1,135260,63
25,0,135621,44
52,1,22771,1
36,1,185752,31
58,1,124853,30
83,0,25680,74
49,0,123489,79
79,0,123362,7
36,0,133984,93
56,1,50427,52
74,1,109479,75
29,0,79914,38
48,1,70861,79
61,1,173781,57
42,1,124496,64
20,1,190420,69
34,1,100159,59
33,1,54510,96
38,1,156178,41
51,1,59939,59
22,1,145127,53
67,1,64896,99
84,0,88812,51
26,0,154753,57
69,1,159919,40
19,1,45336,53
56,0,160231,12
41,1,144324,21
22,0,131870,14
69,1,20104,39
57,0,77952,5
24,1,199076,65
31,1,92650,2
25,1,170959,70
55,1,83562,34
54,1,172382,23
39,1,60008,27
31,1,144867,81
72,1,196122,11
87,0,27167,33
71,1,168707,99
69,0,93861,12
37,0,55490,27
47,0,114120,15
52,1,187849,59
49,0,99984,63
74,1,184858,29
34,1,160824,50
72,1,73969,65
36,0,138816,65
28,1,145481,88
90,0,114829,2
47,1,87398,24
86,1,61327,7
73,0,124554,15
55,0,83935,85
67,1,60892,59
78,1,20413,44
64,1,108810,63
43,0,132743,36
83,0,104181,1
34,1,125144,85
77,0,32247,63
59,1,111425,52
72,0,38618,31
57,1,63778,57
71,1,193546,63
31,1,30505,48
81,0,72824,24
82,1,117130,58
41,1,114443,14
58,0,126819,34
72,0,160849,97
80,1,95597,47
23,0,73735,98
83,0,163569,18
35,0,195678,71
67,1,122477,19
29,0,98005,38
66,0,140084,44
33,0,183148,84
87,1,140111,44
72,0,38611,87
61,1,195305,66
63,1,170688,73
69,0,78140,41
31,1,153008,58
27,0,131134,99
22,1,76090,13
38,0,184355,71
83,0,31241,58
50,1,91230,27
38,0,65547,61
75,1,129187,21
70,0,91037,11
85,0,153007,31
87,0,152894,70
57,1,31879,43
36,0,96992,80
54,1,174665,37
43,0,56543,81
87,0,24933,70
39,0,47123,26
74,1,134385,26
45,0,71723,21
26,0,158873,77
44,1,163155,79
21,1,144965,36
31,0,144207,81
82,1,109643,16
22,1,100009,28
53,1,71711,100
69,1,192592,71
30,0,196354,9
64,0,183627,18
82,0,194775,74
57,0,167315,32
22,0,140054,51
56,1,97860,53
90,0,199124,11
34,0,57864,62
41,1,95094,78
21,0,146016,85
21,1,63732,88
47,1,40378,10
87,1,142648,72
86,1,183401,24
71,0,74309,26
20,1,150191,99
33,1,139770,8
64,1,195668,83
84,1,196994,86
66,1,153493,46
21,0,65829,71
71,0,68902,7
48,1,34334,72
69,0,140446,31
42,0,50311,98
62,1,180947,48
50,0,75689,44
82,1,168093,92
84,1,90479,96
34,0,67592,9
54,0,38854,91
37,0,63136,78
90,1,133348,62
39,1,190374,50
87,0,131804,6
39,1,119018,38
80,0,48706,31
68,0,140546,51
66,0,112968,73
85,1,129072,61
37,1,196133,55
53,0,127298,8
57,1,103755,14
89,1,62184,22
63,1,88947,26
37,0,180052,88
58,1,166959,29
62,0,150808,36
81,0,102709,6
89,0,133661,2
19,1,144231,36
39,1,194799,46
42,0,191997,89
58,1,100317,11
72,1,96935,89
24,1,180003,17
90,0,38784,64
25,0,143162,45
84,1,95450,78
52,0,24667,41
66,0,67024,81
55,1,180936,58
30,0,97533,99
79,1,152325,95
75,1,87225,9
28,0,70856,59
88,1,39342,67
42,0,40136,53
48,1,71283,1
64,1,145973,16
44,0,34010,57
39,1,33550,11
32,0,45918,4
80,0,136836,85
34,0,46580,2
70,1,179860,41
83,1,180766,80
31,0,197347,72
18,1,132488,87
86,1,68477,32
82,1,100445,77
86,1,96699,35
34,0,51610,82
46,0,129463,22
54,0,113387,97
85,0,49379,15
49,1,88212,96
73,0,190422,63
60,0,173741,20
62,1,153858,17
21,1,33269,93
65,1,162596,64
83,1,74815,82
42,0,28411,7
90,1,163256,4
78,0,45558,72
61,0,159298,70
64,0,166158,55
18,1,154195,30
35,0,76966,71
18,0,33355,2
83,0,119458,21
58,1,30990,37
20,0,45574,88
78,1,160067,80
71,1,129333,61
54,1,112107,44
29,0,86306,9
48,0,162071,67
36,0,129514,72
54,0,185161,38
67,1,114207,5
19,1,120882,56
35,1,181792,42
27,1,59681,34
18,1,122518,85
63,1,114478,99
71,0,147895,83
29,1,30192,79
47,0,130569,49
89,1,175733,34
66,1,48675,54
46,0,187218,81
89,1,65850,49
34,0,30409,78
43,0,86441,81
64,0,81651,73
71,1,154377,32
42,0,89716,47
33,0,170368,3
24,1,149763,24
85,1,75489,14
26,0,58208,78
65,0,183468,82
86,0,197393,62
69,0,64739,84
23,1,94882,66
35,1,93920,74
45,0,194577,22
70,0,161459,45
62,0,151015,74
57,0,87265,99
52,0,197380,64
50,1,164703,73
35,0,87068,74
67,0,142820,12
20,0,57414,66
23,0,35821,26
68,0,129922,70
31,1,165920,39
40,0,96771,51
74,1,160882,5
34,0,55983,9
41,0,158601,18
66,0,180763,79
32,0,24024,19
85,1,103010,34
42,0,49970,13
90,1,153585,36
71,0,95374,36
84,0,33155,68
87,1,144187,83
76,0,98844,84
52,0,48968,100
23,0,84346,17
80,0,80553,8
84,0,71621,89
55,0,135073,12
79,1,93783,33
70,1,198305,85
53,0,146455,68
31,1,177879,20
64,1,171097,24
58,1,166019,39
48,1,55191,99
65,0,111980,58
62,1,74749,94
20,1,56688,4
33,0,98626,82
46,1,115058,75
41,0,199456,9
68,1,139769,60
49,0,64643,3
86,0,154730,87
70,0,134646,60
55,1,169165,82
64,0,49198,70
88,1,59948,53
39,0,111425,85
58,0,115529,38
49,1,195029,99
20,0,188328,13
31,0,40699,100
46,0,171943,78
88,1,121555,65
25,0,127328,83
87,0,178693,27
78,1,133038,19
50,0,56604,72
55,0,189945,97
85,0,133601,1
41,1,92549,8
31,1,152964,44
43,1,144656,17
83,1,132512,7
69,0,169335,10
45,0,72217,45
36,1,134815,100
80,1,190903,21
59,0,169200,89
34,1,178957,93
23,1,187873,53
19,0,105512,47
61,1,118870,78
86,1,99837,41
21,0,178843,16
80,0,101836,81
83,0,39314,21
32,1,62758,17
36,0,65511,37
67,1,110877,22
76,1,92593,65
47,1,184654,68
37,0,68561,48
69,0,132316,34
64,0,143666,85
24,0,130987,92
66,0,34176,7
42,1,171128,75
72,1,188096,3
51,1,156948,29
47,1,106157,82
20,0,71561,32
42,0,98960,51
46,1,68144,72
82,1,138788,41
27,0,166551,65
28,0,30736,4
73,0,117656,23
67,1,27210,71
44,0,161667,35
55,1,124649,58
59,0,188031,33
36,0,153529,63
51,1,177697,34
72,0,90187,43
49,0,81804,85
60,0,67828,12
77,1,56428,76
74,1,22367,98
65,0,179989,67
37,1,114596,67
40,0,179075,65
62,0,121950,41
57,0,40925,23
20,0,167993,19
32,1,121633,40
60,0,35782,58
87,1,105032,94
26,0,38428,31
44,1,173937,91
26,1,186992,42
80,0,74099,40
63,0,150185,13
71,1,115198,77
63,0,78296,34
28,1,80307,38
55,1,53038,29
87,1,55792,84
36,0,39689,49
19,1,153781,6
52,1,116662,29
38,1,76663,80
24,0,159414,79
72,0,120085,81
63,1,102167,19
37,0,175496,73
38,1,190821,38
71,1,84268,27
39,1,162820,89
80,1,33193,63
80,1,80537,75
51,0,183939,18
33,0,163858,37
87,1,75396,83
50,1,67687,79
83,1,71541,10
71,1,108614,31
19,1,59348,23
85,0,126069,72
62,0,31948,1
89,1,177512,62
90,1,84929,83
90,1,140063,79
57,0,38224,4
40,0,20442,23
47,1,162352,86
36,0,199934,38
79,0,108865,26
71,1,152722,11
26,1,141600,84
28,1,76394,96
90,0,140857,45
36,1,162031,9
55,0,190813,22
40,0,44095,17
67,1,48217,34
45,0,94535,7
83,0,125511,12
66,1,55422,98
59,0,63061,79
67,1,170005,51
41,1,79851,57
81,0,162193,50
80,1,80468,35
39,1,168654,91
75,0,96952,78
71,1,46751,27
90,0,48500,87
83,1,122787,97
44,0,56095,98
78,1,120169,34
66,1,45575,1
41,1,161614,7
64,0,189594,84
46,1,107928,5
44,0,39712,47
27,1,42401,53
53,0,137028,21
46,1,62957,15
59,1,135310,49
29,0,34703,26
69,0,161582,45
83,1,151968,78
32,1,36442,27
75,1,65116,50
36,1,141308,9
69,0,44115,31
28,0,136112,63
31,1,161192,11
35,1,131200,27
41,1,59087,74
66,1,121139,27
89,0,162578,75
47,0,76662,63
43,1,59106,57
49,1,93112,73
25,1,113464,1
24,0,51686,31
37,1,156602,7
75,0,111023,73
58,1,49579,81
74,0,78019,81
51,0,33185,58
68,1,45630,20
58,0,147733,51
76,1,102849,27
39,1,166452,34
86,1,119742,94
86,0,192901,27
82,0,48232,25
74,1,28100,51
33,1,64795,45
43,1,75609,71
30,1,28032,79
36,0,145469,65
63,0,117469,17
22,1,53048,82
44,0,100108,13
60,0,175868,7
41,1,188180,18
88,1,126918,84
73,0,178461,75
84,1,37244,35
76,0,124852,9
28,0,127447,34
54,1,171757,85
45,1,48710,79
56,0,85585,91
64,1,130835,65
18,0,88033,82
45,1,168639,37
69,0,112028,59
77,1,56662,78
32,1,146940,21
41,0,118767,25
79,1,101589,50
83,0,62279,1
53,0,79103,4
69,0,30459,11
61,1,136238,89
79,1,104565,48
78,1,135766,86
85,0,63312,7
65,0,188207,28
39,1,196640,78
33,1,138814,7
55,0,130471,76
59,0,25298,76
41,1,191769,68
79,0,99659,18
63,1,135239,66
46,1,133902,94
78,0,186037,60
69,0,157149,88
82,0,136991,41
31,1,123518,60
90,1,192338,59
48,0,45002,84
83,0,150867,71
57,0,74288,51
43,1,177446,14
65,1,129764,37
36,1,46072,2
36,1,108956,70
20,0,148279,90
21,0,82673,96
56,1,179815,2
38,0,100452,99
70,1,141868,82
49,1,135544,98
82,1,94305,88
21,1,120726,37
20,1,149016,1
41,1,159943,90
77,1,58786,78
30,0,76805,97
27,1,55536,32
60,1,130383,98
80,1,94248,45
44,0,157372,77
47,1,160934,77
37,1,142843,3
39,1,82780,77
69,1,81578,69
41,0,74248,74
61,1,31667,51
21,0,43644,41
77,0,129433,13
21,0,141651,59
45,0,98008,33
90,1,30106,81
81,0,109914,38
64,1,189253,31
66,0,118827,14
75,1,129898,64
77,1,96453,61
77,1,191839,22
30,0,32502,57
69,0,82627,95
29,0,191760,88
59,1,143480,51
72,1,45842,74
27,1,122499,24
80,0,24154,1
50,1,109977,78
25,0,199600,37
33,1,82063,53
20,0,61127,16
19,1,36886,59
79,1,189916,81
41,1,40081,87
78,0,98635,19
61,1,193151,39
31,1,169901,86
48,1,85718,29
48,1,31319,47
38,0,85370,61
43,0,92020,25
61,1,171183,29
28,1,123199,98
64,1,31629,29
70,0,153603,31
76,1,58100,28
52,1,25588,90
44,1,182368,32
83,0,185607,72
51,0,181837,45
87,0,48210,46
75,0,31056,95
46,1,98252,84
22,0,81428,81
24,1,154669,64
47,1,87630,17
59,1,71744,51
46,1,84357,64
44,0,27595,95
81,0,118427,39
58,1,57070,13
66,0,25968,74
66,1,37225,59
59,0,72876,59
28,0,88657,64
50,1,48916,28
81,1,95441,41
27,0,177593,46
63,1,79629,97
56,0,172023,59
30,0,187248,23
38,1,149779,77
61,0,61869,90
42,1,51495,76
23,0,191209,89
18,0,170359,50
23,1,42140,56
90,0,154016,94
41,0,161143,23
64,1,181359,82
46,0,31179,97
60,0,101192,54
74,1,198753,31
35,1,112265,99
79,1,167629,52
84,0,142021,10
89,0,140505,12
86,1,119131,28
72,0,47200,56
85,0,109068,2
81,0,121655,56
38,0,193906,66
33,0,167291,88
73,0,54654,27
37,1,186282,5
18,0,97203,48
48,0,98016,35
58,1,154233,32
32,0,110999,32
51,0,34274,3
86,1,115225,51
60,0,183866,34
62,0,24007,7
90,0,153258,81
45,0,48151,54
29,0,186921,16
51,1,188471,4
71,1,144391,38
70,0,125291,46
89,1,59951,13
77,1,197572,6
56,0,158605,6
78,1,82824,22
88,0,78240,18
64,1,49367,56
41,0,86738,71
28,0,20532,20
19,1,113294,97
50,0,173091,59
22,0,91559,49
26,1,57946,80
63,0,142120,28
77,0,155931,47
60,1,137514,99
65,1,118898,97
79,0,62097,55
40,1,40503,7
47,1,127556,87
45,1,90774,59
21,1,124870,19
55,1,193741,56
56,0,73071,89
39,1,56156,44
50,1,49112,74
36,0,130987,4
87,0,182091,14
70,1,51841,94
38,1,93172,96
85,1,50325,56
85,0,101047,65
55,1,183905,47
75,0,142861,45
45,0,20820,8
52,1,44444,4
32,1,114698,87
65,1,163879,78
63,0,120803,9
22,1,186838,6
65,0,40388,52
62,0,97287,5
79,1,83248,13
23,1,37466,97
34,0,149280,11
29,0,170268,5
22,1,67063,13
84,1,87495,34
20,1,74329,96
51,0,28876,9
40,1,172649,68
88,1,118210,46
51,1,68677,21
54,0,20970,7
46,1,69139,20
26,0,59456,94
54,0,23575,53
55,1,172131,98
84,1,164744,76
18,1,33775,13
41,1,118905,36
56,1,124202,54
78,0,45603,59
70,0,68189,3
82,1,63234,19
89,0,34904,13
42,1,90377,57
23,1,159264,70
33,1,140340,75
60,1,172766,79
80,1,131423,52
20,1,43889,86
44,1,130050,5
45,0,104104,47
50,1,75044,29
20,1,195860,98
22,0,53327,85
54,1,180202,41
64,1,122941,28
51,1,71073,76
59,1,152253,21
72,1,189546,59
79,0,140819,59
84,0,79616,25
69,0,183887,37
39,0,167940,17
63,0,39267,54
70,0,90451,25
43,1,36442,39
49,0,103063,32
74,1,137009,14
83,1,197898,38
37,1,184423,28
64,1,86981,27
45,1,61391,29
31,1,197578,34
20,0,148564,82
72,0,173892,13
30,1,46114,91
29,1,41076,20
57,1,151123,72
62,0,46973,46
39,0,144125,78
69,1,69086,65
89,1,96022,54
65,0,107478,59
47,0,149458,10
37,0,143768,96
82,0,193101,39
44,0,32358,51
76,1,23825,38
42,0,32499,33
19,1,85326,83
57,1,112064,71
56,1,136874,59
60,0,56182,28
90,1,40000,35
76,0,99849,30
30,1,49997,15
71,0,153562,91
25,1,120657,50
74,0,129142,63
41,0,173239,73
87,1,147692,71
19,0,175102,66
35,0,74445,55
78,0,56392,26
70,1,30425,65
37,1,109243,11
82,0,28546,91
80,0,79714,57
80,0,40730,17
73,1,64806,2
39,1,58394,85
35,0,149263,2
72,1,79863,35
51,1,65449,89
79,0,20179,82
78,0,59920,74
70,0,25739,20
62,0,123784,41
72,1,20921,51
33,0,57035,39
77,1,164690,73
69,1,152869,11
21,1,29017,23
27,1,182282,9
31,0,97597,41
39,0,117142,74
28,0,123614,60
88,0,121740,14
33,1,118693,57
82,1,156850,49
80,0,188044,20
89,1,67968,18
65,1,93707,27
82,1,68981,54
18,0,145216,33
81,0,35606,89
53,1,38664,42
23,0,92139,38
52,1,69104,16
90,1,179804,65
71,1,153322,1
57,0,71410,42
67,0,185087,68
78,0,120260,93
29,1,45087,65
78,0,146974,6
21,1,86585,87
20,1,45952,67
45,0,65057,95
57,1,79739,54
89,1,113454,80
32,1,90214,71
81,0,22824,10
63,1,78357,9
60,1,32191,98
88,1,93534,40
54,1,46319,39
87,1,55612,20
32,1,58499,85
24,0,64324,5
47,1,49759,52
56,0,88066,83
55,0,87740,50
88,0,70009,93
75,1,146719,24
54,0,85835,94
67,0,103862,53
80,1,198066,28
34,0,104458,65
85,1,133883,46
34,1,81814,48
45,0,195469,23
90,0,147091,33
20,0,124438,27
41,0,84442,98
39,0,101603,11
76,1,182291,22
21,1,37428,9
49,1,197959,84
71,1,134411,70
56,0,165594,76
44,1,23370,44
50,1,193064,63
27,0,105000,81
50,1,154562,93
41,1,154487,92
40,1,49821,77
63,1,66491,14
23,1,198123,70
76,1,146540,98
79,1,84929,20
50,1,180539,59
37,1,120883,82
27,0,165136,32
53,0,66142,5
27,1,62648,51
82,1,71027,38
57,0,173176,64
44,1,129040,16
50,0,79508,47
86,0,50624,67
89,0,130925,23
25,1,86222,84
31,1,30888,64
70,1,109471,5
62,0,97013,27
80,1,37201,31
43,1,190206,58
56,0,171382,37
40,1,137280,78
70,1,121668,87
65,1,175966,60
75,1,22880,90
81,1,195716,59
47,1,37878,99
86,1,109073,60
52,0,37812,77
26,0,45405,9
39,0,97520,43
36,0,32461,73
70,0,121030,3
51,1,110099,74
65,1,31557,69
23,0,185325,68
55,0,41874,50
84,0,115451,54
70,0,28186,46
78,0,56955,69
42,1,181116,46
62,0,42635,79
48,0,26228,53
80,0,104334,37
20,0,81952,29
37,0,170729,84
45,0,133976,32
83,1,100949,91
66,0,99421,54
88,0,35045,25
80,0,100270,7
52,1,25196,48
38,0,31020,51
68,1,97239,46
88,0,167380,53
62,1,154482,15
43,0,69601,2
31,1,58824,8
63,1,73933,10
48,0,181591,39
32,0,139668,97
67,0,185347,41
25,1,178760,93
75,1,82445,1
62,1,124146,53
90,1,175009,36
31,0,192458,38
66,1,89359,53
45,0,23655,66
46,1,195123,98
32,1,100814,41
48,0,182867,59
62,1,100090,60
19,1,94252,91
85,1,187630,38
47,0,59703,18
29,0,198566,49
75,0,152156,78
70,1,35740,23
85,0,65777,48
34,0,182531,73
73,1,175324,44
71,0,69174,43
62,0,154779,55
64,1,93964,8
44,1,122787,89
35,1,58812,48
46,0,166076,57
89,1,125040,36
86,1,40589,35
87,1,69367,17
55,1,114243,52
65,0,53749,98
57,1,73586,41
49,0,97156,49
80,1,102681,63
81,1,174829,47
76,0,177531,51
56,0,145172,51
78,1,101668,38
50,1,23835,57
82,1,39352,11
74,0,28750,67
43,1,187053,76
68,0,90369,14
26,1,162256,61
61,1,40536,77
18,0,169153,70
21,0,20897,37
87,1,109348,53
65,1,46096,15
76,0,199776,59
88,0,89470,33
27,1,169405,64
34,0,46118,9
59,1,137094,23
33,1,159229,82
40,0,26512,49
48,0,29548,55
61,0,173538,98
64,1,55150,5
86,1,100165,35
76,0,173778,27
55,0,49522,89
32,0,138000,21
54,0,42083,57
29,0,28458,61
36,0,69321,50
88,1,84624,30
75,1,134809,35
61,1,35349,77
44,1,53498,89
86,1,145243,25
32,1,35564,6
31,0,105433,84
89,0,96250,94
26,1,193927,42
76,0,76357,25
90,1,189570,1
74,0,35999,59
65,1,186952,51
84,0,85278,71
81,1,146214,90
55,0,155461,46
43,0,73171,15
26,0,32328,52
69,0,152344,75
53,0,30726,49
83,1,151069,50
77,1,136030,64
37,1,161532,92
82,0,109514,83
31,1,119270,79
53,1,182101,22
58,1,122001,41
24,1,172084,23
75,1,127765,93
85,1,115776,70
40,1,122518,73
61,0,28718,82
83,1,25375,24
49,0,103961,69
49,0,73690,47
39,0,87152,39
42,1,148897,40
60,1,107693,8
26,0,111258,91
61,1,36267,12
20,1,36980,99
28,1,52352,68
66,0,64187,65
41,0,41661,66
24,1,198879,100
57,0,97398,64
21,1,62056,81
69,0,84250,91
58,0,98907,34
66,1,54379,11
83,1,148085,39
