Age,Annual Income,Spending Score
61,23888,59
60,189867,98
78,23342,91
35,76836,29
53,170065,28
33,99420,64
86,174987,71
90,117976,85
84,74475,54
54,103099,49
20,188784,21
86,28187,37
73,145465,54
35,120472,94
88,37300,4
54,113062,65
19,150107,61
84,22452,48
60,42834,32
39,81494,66
85,59981,38
60,91707,89
85,31207,51
82,160112,44
44,199826,4
48,124952,1
21,42522,48
87,54581,94
41,68045,37
52,141101,30
76,74629,27
72,70373,4
67,22820,19
32,83620,77
71,96598,33
38,55259,53
57,26527,59
80,152277,50
60,150622,51
53,177668,26
84,138972,90
26,52463,75
34,139068,63
67,193657,23
31,154450,38
81,116964,89
67,122895,41
32,176367,2
32,118656,21
81,68370,93
77,105926,7
27,124703,17
59,147027,49
37,110855,1
47,70702,66
28,82523,10
63,42330,88
18,178560,90
55,129907,39
46,134580,1
72,107376,38
78,125187,95
62,186372,61
60,127462,31
76,74630,37
32,95027,5
77,126515,52
56,166446,89
64,158708,2
67,120643,87
52,57458,35
58,29260,83
50,190730,46
54,184263,13
23,142365,37
59,193543,47
22,129465,92
77,65179,75
53,30343,26
46,38876,73
57,135290,39
76,189305,39
34,151112,35
89,66323,86
34,174069,15
64,76655,16
24,143372,25
55,111764,18
84,142286,39
72,148326,95
53,101061,61
85,161924,26
85,173245,84
45,196725,19
43,20953,32
86,109022,29
19,129516,21
45,164003,51
36,27840,36
51,145171,71
38,26427,39
27,56203,32
19,82173,10
81,54017,17
72,54956,2
78,186007,97
53,160578,6
83,178348,29
77,169719,55
54,165825,98
42,193045,89
70,78287,3
29,118684,34
88,116405,39
37,121849,4
22,143719,41
21,101576,83
36,26334,57
50,157555,17
53,74738,55
70,129521,31
38,137145,59
58,38318,60
48,91467,69
51,45879,15
27,52391,41
33,119850,56
76,170078,6
79,117332,26
52,174466,55
85,101361,96
18,98304,58
41,144752,78
82,24320,23
54,106714,20
22,194907,76
75,85799,96
71,63982,75
41,87073,25
90,140436,10
21,90740,56
69,174694,43
75,71474,91
70,56374,7
40,88459,95
23,133914,44
41,182523,79
34,183346,22
78,136769,33
40,20733,51
20,41393,30
73,36205,21
47,65662,57
56,97772,74
71,197836,15
57,54469,10
60,124047,98
73,81323,70
82,39391,26
48,101082,26
77,109549,74
59,194924,40
60,178052,54
23,106726,22
45,198713,19
63,92958,25
18,159187,56
71,93430,16
24,42163,74
71,122521,66
87,135385,78
44,183922,2
70,20908,68
58,173955,56
88,94293,83
26,21649,59
69,180330,53
73,37561,86
88,81898,73
64,101560,75
85,44607,13
64,173348,84
63,127435,77
64,170870,72
21,129790,7
79,80187,83
83,159614,8
76,89407,16
67,153531,59
85,198777,89
59,78594,19
55,85115,91
39,193628,85
77,102407,100
34,89281,56
86,82548,60
40,103640,52
68,91405,1
79,123445,66
29,137270,66
83,171348,63
41,141119,40
82,127526,14
75,185054,47
78,107494,94
53,57688,10
78,149736,44
75,50256,78
66,134911,59
86,74521,6
29,148755,82
19,161632,9
68,38528,98
84,22909,75
67,187832,10
46,95914,81
55,153041,38
84,76245,50
67,129619,38
69,198222,25
65,119444,93
78,38448,48
40,97741,52
72,164386,46
54,91225,28
19,122126,46
62,54526,76
55,158515,50
26,154839,83
51,154021,71
51,191537,41
34,66604,91
79,69881,29
53,85717,13
49,190332,53
48,26077,52
23,174708,85
80,156773,67
19,169276,95
79,95639,76
75,124498,27
44,120679,77
52,152295,91
69,165227,27
66,159783,32
38,175705,31
64,137245,60
45,194383,4
73,59263,35
63,95665,99
73,48069,82
83,113215,70
74,53856,23
39,172160,6
86,72309,54
41,49545,43
57,120031,39
69,167306,54
66,89511,46
40,55208,16
60,108863,80
46,181242,98
88,169138,100
57,164003,55
51,37102,43
70,55667,22
64,176766,68
81,196637,74
20,184387,40
58,104660,47
77,139804,22
41,174504,52
86,52216,62
40,80082,79
43,127348,7
56,48666,47
74,40689,75
82,135260,63
25,135621,44
52,22771,1
36,185752,31
58,124853,30
83,25680,74
49,123489,79
79,123362,7
36,133984,93
56,50427,52
74,109479,75
29,79914,38
48,70861,79
61,173781,57
42,124496,64
20,190420,69
34,100159,59
33,54510,96
38,156178,41
51,59939,59
22,145127,53
67,64896,99
84,88812,51
26,154753,57
69,159919,40
19,45336,53
56,160231,12
41,144324,21
22,131870,14
69,20104,39
57,77952,5
24,199076,65
31,92650,2
25,170959,70
55,83562,34
54,172382,23
39,60008,27
31,144867,81
72,196122,11
87,27167,33
71,168707,99
69,93861,12
37,55490,27
47,114120,15
52,187849,59
49,99984,63
74,184858,29
34,160824,50
72,73969,65
36,138816,65
28,145481,88
90,114829,2
47,87398,24
86,61327,7
73,124554,15
55,83935,85
67,60892,59
78,20413,44
64,108810,63
43,132743,36
83,104181,1
34,125144,85
77,32247,63
59,111425,52
72,38618,31
57,63778,57
71,193546,63
31,30505,48
81,72824,24
82,117130,58
41,114443,14
58,126819,34
72,160849,97
80,95597,47
23,73735,98
83,163569,18
35,195678,71
67,122477,19
29,98005,38
66,140084,44
33,183148,84
87,140111,44
72,38611,87
61,195305,66
63,170688,73
69,78140,41
31,153008,58
27,131134,99
22,76090,13
38,184355,71
83,31241,58
50,91230,27
38,65547,61
75,129187,21
70,91037,11
85,153007,31
87,152894,70
57,31879,43
36,96992,80
54,174665,37
43,56543,81
87,24933,70
39,47123,26
74,134385,26
45,71723,21
26,158873,77
44,163155,79
21,144965,36
31,144207,81
82,109643,16
22,100009,28
53,71711,100
69,192592,71
30,196354,9
64,183627,18
82,194775,74
57,167315,32
22,140054,51
56,97860,53
90,199124,11
34,57864,62
41,95094,78
21,146016,85
21,63732,88
47,40378,10
87,142648,72
86,183401,24
71,74309,26
20,150191,99
33,139770,8
64,195668,83
84,196994,86
66,153493,46
21,65829,71
71,68902,7
48,34334,72
69,140446,31
42,50311,98
62,180947,48
50,75689,44
82,168093,92
84,90479,96
34,67592,9
54,38854,91
37,63136,78
90,133348,62
39,190374,50
87,131804,6
39,119018,38
80,48706,31
68,140546,51
66,112968,73
85,129072,61
37,196133,55
53,127298,8
57,103755,14
89,62184,22
63,88947,26
37,180052,88
58,166959,29
62,150808,36
81,102709,6
89,133661,2
19,144231,36
39,194799,46
42,191997,89
58,100317,11
72,96935,89
24,180003,17
90,38784,64
25,143162,45
84,95450,78
52,24667,41
66,67024,81
55,180936,58
30,97533,99
79,152325,95
75,87225,9
28,70856,59
88,39342,67
42,40136,53
48,71283,1
64,145973,16
44,34010,57
39,33550,11
32,45918,4
80,136836,85
34,46580,2
70,179860,41
83,180766,80
31,197347,72
18,132488,87
86,68477,32
82,100445,77
86,96699,35
34,51610,82
46,129463,22
54,113387,97
85,49379,15
49,88212,96
73,190422,63
60,173741,20
62,153858,17
21,33269,93
65,162596,64
83,74815,82
42,28411,7
90,163256,4
78,45558,72
61,159298,70
64,166158,55
18,154195,30
35,76966,71
18,33355,2
83,119458,21
58,30990,37
20,45574,88
78,160067,80
71,129333,61
54,112107,44
29,86306,9
48,162071,67
36,129514,72
54,185161,38
67,114207,5
19,120882,56
35,181792,42
27,59681,34
18,122518,85
63,114478,99
71,147895,83
29,30192,79
47,130569,49
89,175733,34
66,48675,54
46,187218,81
89,65850,49
34,30409,78
43,86441,81
64,81651,73
71,154377,32
42,89716,47
33,170368,3
24,149763,24
85,75489,14
26,58208,78
65,183468,82
86,197393,62
69,64739,84
23,94882,66
35,93920,74
45,194577,22
70,161459,45
62,151015,74
57,87265,99
52,197380,64
50,164703,73
35,87068,74
67,142820,12
20,57414,66
23,35821,26
68,129922,70
31,165920,39
40,96771,51
74,160882,5
34,55983,9
41,158601,18
66,180763,79
32,24024,19
85,103010,34
42,49970,13
90,153585,36
71,95374,36
84,33155,68
87,144187,83
76,98844,84
52,48968,100
23,84346,17
80,80553,8
84,71621,89
55,135073,12
79,93783,33
70,198305,85
53,146455,68
31,177879,20
64,171097,24
58,166019,39
48,55191,99
65,111980,58
62,74749,94
20,56688,4
33,98626,82
46,115058,75
41,199456,9
68,139769,60
49,64643,3
86,154730,87
70,134646,60
55,169165,82
64,49198,70
88,59948,53
39,111425,85
58,115529,38
49,195029,99
20,188328,13
31,40699,100
46,171943,78
88,121555,65
25,127328,83
87,178693,27
78,133038,19
50,56604,72
55,189945,97
85,133601,1
41,92549,8
31,152964,44
43,144656,17
83,132512,7
69,169335,10
45,72217,45
36,134815,100
80,190903,21
59,169200,89
34,178957,93
23,187873,53
19,105512,47
61,118870,78
86,99837,41
21,178843,16
80,101836,81
83,39314,21
32,62758,17
36,65511,37
67,110877,22
76,92593,65
47,184654,68
37,68561,48
69,132316,34
64,143666,85
24,130987,92
66,34176,7
42,171128,75
72,188096,3
51,156948,29
47,106157,82
20,71561,32
42,98960,51
46,68144,72
82,138788,41
27,166551,65
28,30736,4
73,117656,23
67,27210,71
44,161667,35
55,124649,58
59,188031,33
36,153529,63
51,177697,34
72,90187,43
49,81804,85
60,67828,12
77,56428,76
74,22367,98
65,179989,67
37,114596,67
40,179075,65
62,121950,41
57,40925,23
20,167993,19
32,121633,40
60,35782,58
87,105032,94
26,38428,31
44,173937,91
26,186992,42
80,74099,40
63,150185,13
71,115198,77
63,78296,34
28,80307,38
55,53038,29
87,55792,84
36,39689,49
19,153781,6
52,116662,29
38,76663,80
24,159414,79
72,120085,81
63,102167,19
37,175496,73
38,190821,38
71,84268,27
39,162820,89
80,33193,63
80,80537,75
51,183939,18
33,163858,37
87,75396,83
50,67687,79
83,71541,10
71,108614,31
19,59348,23
85,126069,72
62,31948,1
89,177512,62
90,84929,83
90,140063,79
57,38224,4
40,20442,23
47,162352,86
36,199934,38
79,108865,26
71,152722,11
26,141600,84
28,76394,96
90,140857,45
36,162031,9
55,190813,22
40,44095,17
67,48217,34
45,94535,7
83,125511,12
66,55422,98
59,63061,79
67,170005,51
41,79851,57
81,162193,50
80,80468,35
39,168654,91
75,96952,78
71,46751,27
90,48500,87
83,122787,97
44,56095,98
78,120169,34
66,45575,1
41,161614,7
64,189594,84
46,107928,5
44,39712,47
27,42401,53
53,137028,21
46,62957,15
59,135310,49
29,34703,26
69,161582,45
83,151968,78
32,36442,27
75,65116,50
36,141308,9
69,44115,31
28,136112,63
31,161192,11
35,131200,27
41,59087,74
66,121139,27
89,162578,75
47,76662,63
43,59106,57
49,93112,73
25,113464,1
24,51686,31
37,156602,7
75,111023,73
58,49579,81
74,78019,81
51,33185,58
68,45630,20
58,147733,51
76,102849,27
39,166452,34
86,119742,94
86,192901,27
82,48232,25
74,28100,51
33,64795,45
43,75609,71
30,28032,79
36,145469,65
63,117469,17
22,53048,82
44,100108,13
60,175868,7
41,188180,18
88,126918,84
73,178461,75
84,37244,35
76,124852,9
28,127447,34
54,171757,85
45,48710,79
56,85585,91
64,130835,65
18,88033,82
45,168639,37
69,112028,59
77,56662,78
32,146940,21
41,118767,25
79,101589,50
83,62279,1
53,79103,4
69,30459,11
61,136238,89
79,104565,48
78,135766,86
85,63312,7
65,188207,28
39,196640,78
33,138814,7
55,130471,76
59,25298,76
41,191769,68
79,99659,18
63,135239,66
46,133902,94
78,186037,60
69,157149,88
82,136991,41
31,123518,60
90,192338,59
48,45002,84
83,150867,71
57,74288,51
43,177446,14
65,129764,37
36,46072,2
36,108956,70
20,148279,90
21,82673,96
56,179815,2
38,100452,99
70,141868,82
49,135544,98
82,94305,88
21,120726,37
20,149016,1
41,159943,90
77,58786,78
30,76805,97
27,55536,32
60,130383,98
80,94248,45
44,157372,77
47,160934,77
37,142843,3
39,82780,77
69,81578,69
41,74248,74
61,31667,51
21,43644,41
77,129433,13
21,141651,59
45,98008,33
90,30106,81
81,109914,38
64,189253,31
66,118827,14
75,129898,64
77,96453,61
77,191839,22
30,32502,57
69,82627,95
29,191760,88
59,143480,51
72,45842,74
27,122499,24
80,24154,1
50,109977,78
25,199600,37
33,82063,53
20,61127,16
19,36886,59
79,189916,81
41,40081,87
78,98635,19
61,193151,39
31,169901,86
48,85718,29
48,31319,47
38,85370,61
43,92020,25
61,171183,29
28,123199,98
64,31629,29
70,153603,31
76,58100,28
52,25588,90
44,182368,32
83,185607,72
51,181837,45
87,48210,46
75,31056,95
46,98252,84
22,81428,81
24,154669,64
47,87630,17
59,71744,51
46,84357,64
44,27595,95
81,118427,39
58,57070,13
66,25968,74
66,37225,59
59,72876,59
28,88657,64
50,48916,28
81,95441,41
27,177593,46
63,79629,97
56,172023,59
30,187248,23
38,149779,77
61,61869,90
42,51495,76
23,191209,89
18,170359,50
23,42140,56
90,154016,94
41,161143,23
64,181359,82
46,31179,97
60,101192,54
74,198753,31
35,112265,99
79,167629,52
84,142021,10
89,140505,12
86,119131,28
72,47200,56
85,109068,2
81,121655,56
38,193906,66
33,167291,88
73,54654,27
37,186282,5
18,97203,48
48,98016,35
58,154233,32
32,110999,32
51,34274,3
86,115225,51
60,183866,34
62,24007,7
90,153258,81
45,48151,54
29,186921,16
51,188471,4
71,144391,38
70,125291,46
89,59951,13
77,197572,6
56,158605,6
78,82824,22
88,78240,18
64,49367,56
41,86738,71
28,20532,20
19,113294,97
50,173091,59
22,91559,49
26,57946,80
63,142120,28
77,155931,47
60,137514,99
65,118898,97
79,62097,55
40,40503,7
47,127556,87
45,90774,59
21,124870,19
55,193741,56
56,73071,89
39,56156,44
50,49112,74
36,130987,4
87,182091,14
70,51841,94
38,93172,96
85,50325,56
85,101047,65
55,183905,47
75,142861,45
45,20820,8
52,44444,4
32,114698,87
65,163879,78
63,120803,9
22,186838,6
65,40388,52
62,97287,5
79,83248,13
23,37466,97
34,149280,11
29,170268,5
22,67063,13
84,87495,34
20,74329,96
51,28876,9
40,172649,68
88,118210,46
51,68677,21
54,20970,7
46,69139,20
26,59456,94
54,23575,53
55,172131,98
84,164744,76
18,33775,13
41,118905,36
56,124202,54
78,45603,59
70,68189,3
82,63234,19
89,34904,13
42,90377,57
23,159264,70
33,140340,75
60,172766,79
80,131423,52
20,43889,86
44,130050,5
45,104104,47
50,75044,29
20,195860,98
22,53327,85
54,180202,41
64,122941,28
51,71073,76
59,152253,21
72,189546,59
79,140819,59
84,79616,25
69,183887,37
39,167940,17
63,39267,54
70,90451,25
43,36442,39
49,103063,32
74,137009,14
83,197898,38
37,184423,28
64,86981,27
45,61391,29
31,197578,34
20,148564,82
72,173892,13
30,46114,91
29,41076,20
57,151123,72
62,46973,46
39,144125,78
69,69086,65
89,96022,54
65,107478,59
47,149458,10
37,143768,96
82,193101,39
44,32358,51
76,23825,38
42,32499,33
19,85326,83
57,112064,71
56,136874,59
60,56182,28
90,40000,35
76,99849,30
30,49997,15
71,153562,91
25,120657,50
74,129142,63
41,173239,73
87,147692,71
19,175102,66
35,74445,55
78,56392,26
70,30425,65
37,109243,11
82,28546,91
80,79714,57
80,40730,17
73,64806,2
39,58394,85
35,149263,2
72,79863,35
51,65449,89
79,20179,82
78,59920,74
70,25739,20
62,123784,41
72,20921,51
33,57035,39
77,164690,73
69,152869,11
21,29017,23
27,182282,9
31,97597,41
39,117142,74
28,123614,60
88,121740,14
33,118693,57
82,156850,49
80,188044,20
89,67968,18
65,93707,27
82,68981,54
18,145216,33
81,35606,89
53,38664,42
23,92139,38
52,69104,16
90,179804,65
71,153322,1
57,71410,42
67,185087,68
78,120260,93
29,45087,65
78,146974,6
21,86585,87
20,45952,67
45,65057,95
57,79739,54
89,113454,80
32,90214,71
81,22824,10
63,78357,9
60,32191,98
88,93534,40
54,46319,39
87,55612,20
32,58499,85
24,64324,5
47,49759,52
56,88066,83
55,87740,50
88,70009,93
75,146719,24
54,85835,94
67,103862,53
80,198066,28
34,104458,65
85,133883,46
34,81814,48
45,195469,23
90,147091,33
20,124438,27
41,84442,98
39,101603,11
76,182291,22
21,37428,9
49,197959,84
71,134411,70
56,165594,76
44,23370,44
50,193064,63
27,105000,81
50,154562,93
41,154487,92
40,49821,77
63,66491,14
23,198123,70
76,146540,98
79,84929,20
50,180539,59
37,120883,82
27,165136,32
53,66142,5
27,62648,51
82,71027,38
57,173176,64
44,129040,16
50,79508,47
86,50624,67
89,130925,23
25,86222,84
31,30888,64
70,109471,5
62,97013,27
80,37201,31
43,190206,58
56,171382,37
40,137280,78
70,121668,87
65,175966,60
75,22880,90
81,195716,59
47,37878,99
86,109073,60
52,37812,77
26,45405,9
39,97520,43
36,32461,73
70,121030,3
51,110099,74
65,31557,69
23,185325,68
55,41874,50
84,115451,54
70,28186,46
78,56955,69
42,181116,46
62,42635,79
48,26228,53
80,104334,37
20,81952,29
37,170729,84
45,133976,32
83,100949,91
66,99421,54
88,35045,25
80,100270,7
52,25196,48
38,31020,51
68,97239,46
88,167380,53
62,154482,15
43,69601,2
31,58824,8
63,73933,10
48,181591,39
32,139668,97
67,185347,41
25,178760,93
75,82445,1
62,124146,53
90,175009,36
31,192458,38
66,89359,53
45,23655,66
46,195123,98
32,100814,41
48,182867,59
62,100090,60
19,94252,91
85,187630,38
47,59703,18
29,198566,49
75,152156,78
70,35740,23
85,65777,48
34,182531,73
73,175324,44
71,69174,43
62,154779,55
64,93964,8
44,122787,89
35,58812,48
46,166076,57
89,125040,36
86,40589,35
87,69367,17
55,114243,52
65,53749,98
57,73586,41
49,97156,49
80,102681,63
81,174829,47
76,177531,51
56,145172,51
78,101668,38
50,23835,57
82,39352,11
74,28750,67
43,187053,76
68,90369,14
26,162256,61
61,40536,77
18,169153,70
21,20897,37
87,109348,53
65,46096,15
76,199776,59
88,89470,33
27,169405,64
34,46118,9
59,137094,23
33,159229,82
40,26512,49
48,29548,55
61,173538,98
64,55150,5
86,100165,35
76,173778,27
55,49522,89
32,138000,21
54,42083,57
29,28458,61
36,69321,50
88,84624,30
75,134809,35
61,35349,77
44,53498,89
86,145243,25
32,35564,6
31,105433,84
89,96250,94
26,193927,42
76,76357,25
90,189570,1
74,35999,59
65,186952,51
84,85278,71
81,146214,90
55,155461,46
43,73171,15
26,32328,52
69,152344,75
53,30726,49
83,151069,50
77,136030,64
37,161532,92
82,109514,83
31,119270,79
53,182101,22
58,122001,41
24,172084,23
75,127765,93
85,115776,70
40,122518,73
61,28718,82
83,25375,24
49,103961,69
49,73690,47
39,87152,39
42,148897,40
60,107693,8
26,111258,91
61,36267,12
20,36980,99
28,52352,68
66,64187,65
41,41661,66
24,198879,100
57,97398,64
21,62056,81
69,84250,91
58,98907,34
66,54379,11
83,148085,39
38,148411,87
74,179913,5
23,23723,89
51,184446,78
20,155731,55
73,176332,68
63,178120,70
66,122141,79
71,77761,84
25,24449,67
59,72411,12
53,54721,20
53,68319,87
41,21275,74
28,121253,76
37,139264,94
48,65033,30
84,78803,89
49,174272,92
74,88168,49
67,62572,25
84,191921,29
68,115685,31
33,199974,89
59,136463,91
22,27557,21
31,97727,26
62,74599,55
70,29682,29
33,186172,41
60,140252,35
28,163852,96
53,110477,60
66,142648,76
28,75203,53
52,155333,13
58,154845,96
36,34796,78
55,196752,30
29,120272,1
26,189551,89
38,102342,37
76,23419,81
52,58278,52
86,163415,62
35,38725,96
18,167412,51
65,139922,41
69,184363,34
83,63152,29
55,91443,70
30,34334,78
44,120812,55
76,125673,93
56,107804,97
70,162133,36
32,25239,58
63,72368,36
76,52522,71
19,51450,21
68,124887,7
87,101328,50
81,89859,36
79,170260,8
89,145463,56
76,47825,98
27,159822,44
50,107783,1
29,75283,15
61,124481,6
34,81885,85
37,133135,91
36,83653,29
48,155979,43
44,71428,65
26,195850,6
76,109626,86
68,193591,87
75,30236,43
50,175589,26
32,41946,4
69,176349,22
25,103658,49
33,36545,15
32,176119,22
79,78788,92
75,35687,39
57,22928,24
27,89134,87
52,187024,47
27,59789,38
75,142387,88
79,63075,43
64,31419,44
24,97786,19
81,149116,23
28,105763,28
31,21434,17
46,41481,16
46,77869,88
49,55991,73
77,22709,28
72,106206,7
48,99453,29
33,57225,80
72,145160,10
84,37532,10
32,90856,6
30,187694,67
68,20866,77
71,197001,15
72,100164,78
83,79505,77
30,71792,16
38,193288,71
40,67859,21
28,182439,13
28,70650,33
51,164173,63
40,125497,63
53,174351,37
79,120780,23
85,58960,28
89,90809,13
89,174494,34
29,65528,18
85,107755,50
34,135433,47
75,161433,52
56,29897,72
56,135024,73
38,136575,49
87,126377,11
37,193293,74
52,62455,8
21,116740,22
64,86896,73
34,49255,30
42,26956,80
41,45700,96
59,124437,54
37,47436,84
73,128733,10
34,197613,73
24,43191,90
55,112316,53
69,188731,51
34,49960,34
43,187473,8
45,71012,12
26,169102,77
50,100904,58
62,21886,17
39,43020,21
25,136088,18
81,42908,8
34,47568,93
60,143326,93
75,107716,67
66,39049,35
89,21940,87
20,196164,64
35,76835,89
70,69382,77
37,160285,76
65,186108,4
57,138248,51
86,152236,42
65,127440,4
31,167243,21
84,170291,47
74,134579,13
41,178148,18
84,138555,19
82,134939,74
60,20983,100
72,151225,8
65,56974,75
30,54322,9
87,189593,23
25,80819,2
80,64344,38
88,28821,84
76,179441,4
73,98804,19
79,40055,15
71,180401,57
54,188310,70
61,23397,55
83,122923,79
43,123492,22
82,166464,81
37,169211,52
28,159110,40
35,152630,61
65,103966,35
58,23589,45
85,97522,11
27,156155,3
77,138289,64
67,112189,15
90,99822,56
36,158700,92
64,68848,88
53,88212,3
68,110326,43
53,195695,26
58,37562,11
72,20878,82
32,88808,88
38,87383,97
81,196802,87
43,172638,76
86,39459,25
52,102466,40
51,77602,43
27,72109,66
69,145865,95
31,175266,79
34,87545,13
48,171641,8
52,29336,41
42,141977,33
84,35601,66
24,98324,40
36,152925,19
40,66985,16
34,55205,20
29,44290,1
36,27305,34
64,72189,97
61,106352,60
88,130826,84
48,32916,29
73,163246,70
32,63786,81
76,98554,73
42,34632,66
40,53210,42
80,166058,49
18,112627,21
63,138351,5
78,140540,67
90,182058,52
33,21603,5
81,180509,46
26,177735,27
29,89885,4
19,40966,23
36,169052,94
46,42394,10
76,91358,4
63,121571,73
28,89697,94
23,170583,19
56,156770,20
84,135440,17
50,91772,47
36,197750,37
19,87765,85
89,98876,67
57,40926,80
40,34644,40
90,109054,92
29,50126,9
20,51082,7
59,144986,19
79,154154,86
67,158573,14
22,20199,34
68,98684,89
54,126194,89
31,34553,46
23,153922,20
30,44829,10
22,143583,100
67,67979,53
83,106391,43
59,89423,28
35,172523,41
62,111818,38
64,73644,91
64,168209,46
40,192881,39
33,114073,89
63,127043,20
41,22648,9
18,22036,55
51,191216,97
74,153154,39
50,187197,72
56,151648,8
66,150663,42
19,191192,95
88,171265,83
59,82408,14
78,51724,84
52,131198,21
33,127024,83
66,86216,88
76,95150,45
63,26230,58
28,107082,66
61,199363,3
83,53211,4
53,49697,46
75,31898,23
48,107177,15
73,146108,59
79,132708,71
44,149592,87
78,104986,70
29,31416,69
26,140235,35
30,93767,48
76,92672,48
76,114130,66
59,56097,96
62,80104,74
52,165429,15
63,119821,28
42,116540,19
80,118905,66
77,189466,1
84,50108,84
31,153075,43
59,195896,82
47,27095,12
37,40150,3
87,32857,2
30,140216,7
22,31929,99
66,98311,26
39,80043,47
86,135603,90
60,174351,64
72,175828,60
87,154901,17
27,137377,51
71,36027,49
28,68291,4
42,24001,95
24,150027,90
89,168614,76
58,73485,73
67,152453,43
86,187146,1
78,134947,61
34,150736,18
43,123366,43
45,162551,21
90,99288,97
60,116720,92
67,81991,60
52,47406,76
54,29398,37
46,148427,90
70,117045,46
72,126003,11
56,165783,2
71,70085,90
40,189156,8
48,99430,37
80,125030,42
61,113868,53
51,71339,1
38,43468,3
83,173203,52
79,194818,63
46,96971,15
47,172003,86
27,107792,45
28,137625,62
56,167222,87
88,188402,95
29,67197,3
77,86419,13
90,118604,42
79,179720,93
79,60062,42
51,178931,18
28,76942,59
53,118042,28
87,63313,73
56,119512,86
80,42513,20
34,27740,7
37,190729,45
76,120275,21
48,71907,72
79,163469,75
72,22824,20
86,68212,58
42,192245,69
28,155256,58
34,162056,81
18,118228,20
32,65636,84
77,195770,71
70,158672,43
37,98586,86
28,43056,88
44,44316,81
24,56346,62
32,178025,76
37,54165,37
19,73665,43
53,65798,80
22,193068,73
45,189649,57
18,149899,57
56,141924,16
65,25498,18
53,44464,64
83,100667,78
64,58197,48
84,167749,69
51,33043,31
64,26207,57
40,59318,34
49,76998,80
72,171683,53
45,51160,68
53,67671,76
87,84557,60
71,57776,29
66,89653,79
83,199893,5
30,136991,27
56,130365,39
37,150893,63
41,95729,11
70,147532,65
89,71424,95
88,54709,91
26,71104,11
55,169139,21
71,52721,32
86,81031,11
54,73555,89
52,160104,95
28,40934,72
43,102757,7
89,146649,85
