Age,Gender,Annual Income,Spending Score,Cluster,PCA1,PCA2
24,1,154402,79,0,1.7554565070928858,0.6993426071754241
44,0,112848,14,1,-1.017771247634467,-0.9707710735732394
55,0,127451,31,1,-0.9569061250474776,-0.3198997994607649
60,1,98827,27,4,-0.2909122970333632,0.014072158212555488
33,1,67969,27,0,0.5471386343147658,-0.9936345206530796
52,0,60785,9,1,-1.1824485921598173,-1.6092689061024774
72,0,66416,53,2,-0.6870777537760477,-0.5622111109064274
72,1,152544,59,4,-0.026673823807867886,1.431489016255504
72,0,35507,72,2,-0.12689872530200655,-0.7679061310717379
68,1,167873,24,4,-0.8110147886658658,1.1316704371311797
65,1,23002,32,4,-0.05409526394099383,-0.9027685793868053
81,0,111464,34,1,-1.539445761099756,0.034464310551060334
64,0,120469,20,1,-1.443404234936754,-0.3675573553882006
76,1,85934,48,4,-0.1783307395530994,0.42653127227658594
30,0,99419,4,1,-0.8324191362476636,-1.5808142326286643
68,0,194339,35,3,-1.4375341700286361,0.9587761272429505
70,1,187033,14,4,-1.169944060570886,1.3232432922516861
57,1,164879,9,4,-0.8624376330208376,0.671605847293526
90,0,34276,98,2,0.01267448729566262,-0.0846265624774796
65,1,97470,67,4,0.5399537972031931,0.5967473567176743
36,0,142836,40,3,-0.27422595617185963,-0.3868298706368215
72,0,62084,59,2,-0.5282683299580179,-0.5495642880241484
61,1,166752,93,4,1.0436439530694859,1.8263316359451245
46,1,43269,54,0,0.9251292645336042,-0.7383378443918514
68,1,114111,42,4,-0.1987492070622184,0.5868658026900149
31,0,75683,65,2,0.6872505801208733,-1.1409813448888875
51,1,196283,31,0,-0.27432176125573254,1.2680437894451058
37,0,132793,22,1,-0.701116132390704,-0.7331250843704811
25,1,141598,63,0,1.3858912109519388,0.33843664330127415
30,1,195148,27,0,0.20505464586891287,0.7614190727856628
21,0,175112,33,3,-0.14175049665943498,-0.32722439777103374
65,1,81473,10,4,-0.7783015900218906,-0.3403641826033963
21,1,172147,80,0,1.8020824686758075,0.902478943178239
22,0,106474,74,2,1.0462892933245913,-0.7778343916690147
70,0,198254,13,3,-2.0344145701867546,0.7832790360118649
71,1,148746,13,4,-1.093660204623426,0.7844914999543153
27,0,40263,77,2,1.2029464101212612,-1.5821015622838954
21,0,115816,55,3,0.5852048305712775,-0.901422071060541
53,1,149880,32,4,-0.15010018615675452,0.6591171706887144
51,0,88029,84,2,0.5586850956666829,-0.30865111678915025
49,0,193839,43,3,-0.7259856783408853,0.6523431699055762
56,0,54564,18,1,-1.0540801643171387,-1.5023989523830996
55,1,134714,96,0,1.3859698963438922,1.2797283175021643
84,1,187596,44,4,-0.8311761868791775,1.9979426696669491
38,1,129717,71,0,1.2639809106363302,0.5408339494304583
46,0,48265,62,2,0.2979632211733863,-1.2554293639007816
27,1,179234,97,0,2.0241452121714554,1.3409848477674642
53,0,156298,35,3,-0.9023167317704257,0.10020943332898437
65,1,156022,49,4,-0.08827265168241426,1.2100244692972761
22,1,158363,83,0,1.8929691035388012,0.7637094410187962
23,0,114512,25,1,-0.18678477995970158,-1.2509538051462412
18,0,96397,64,2,0.948165354930256,-1.1301110172430657
44,0,171517,76,3,0.2786080276622861,0.6384751493682025
38,0,181538,68,3,0.21610133366029108,0.5563844308635539
54,1,47403,42,0,0.4047595124568888,-0.6605072244032837
88,0,167725,51,3,-1.5084674921041823,1.1968916837927035
24,0,185297,95,3,1.2344913786168155,0.6519038616073048
70,1,160196,34,4,-0.5992709905662229,1.18818573356098
42,0,117940,82,2,0.6559691841660417,-0.09479944229199964
74,1,190938,65,4,-0.06469402540811134,2.0968689269611676
22,0,138220,20,1,-0.35886428912620455,-0.9951793230121486
78,1,94764,75,4,0.3874712719790287,0.9303001924752845
44,0,83991,1,1,-1.234427967758501,-1.544851642451772
70,1,82642,56,4,0.18852223120186445,0.35299213003105834
58,0,123333,91,2,0.41887021029688065,0.4299113672701121
38,1,70435,24,0,0.3305808982208135,-0.8907444210776426
88,1,189093,50,4,-0.8007124156531215,2.177854389111074
33,0,177848,29,3,-0.5738850930030147,-0.08600832248103364
59,0,96744,97,2,0.6246120094723909,0.14538204170528848
72,0,83218,32,1,-1.2483754182127251,-0.5830313867883421
27,1,39027,29,0,0.8550858812199098,-1.5084095963334168
35,0,139195,33,3,-0.403300133754503,-0.5468634936332908
37,0,144020,45,3,-0.18508964290985536,-0.2867761845408565
44,0,186527,6,3,-1.4557782673626678,-0.01696822578768435
29,1,48177,53,0,1.3476342791733982,-1.037352437188291
58,0,139447,35,3,-0.9823205211426499,-0.035748553055761786
39,0,119071,3,1,-1.1670405518049012,-1.1234548621311498
33,1,181795,1,0,-0.4577671177386094,0.31034816202148535
65,0,150797,44,3,-0.9941928520490476,0.3852517760221128
52,0,76398,31,1,-0.7050992372097611,-1.1126513675188763
45,0,58209,64,2,0.34018416102475985,-1.1094086652138673
82,1,122425,46,4,-0.511432180009708,1.049218401707876
59,0,46020,78,2,0.33644414568065506,-0.8158569272473634
34,0,61463,72,2,0.8213784446050998,-1.194298565796276
52,1,29917,3,1,-0.4209489831781992,-1.4371571225915365
59,1,194285,47,4,-0.10051048362891926,1.606222014777506
45,0,96402,43,1,-0.2923909380733804,-0.8244471498934209
29,1,146297,82,0,1.7184973077547814,0.7256937694858104
83,1,148435,71,4,-0.023770246928406253,1.7527309462459273
26,1,111030,96,0,2.25457753507902,0.3326030934244207
79,1,27136,48,4,-0.06410062701699751,-0.35102408993366563
49,1,197608,33,0,-0.17615057918401114,1.2698719027581655
19,0,55184,32,1,0.2882632133930886,-2.0959795663307994
48,0,92981,70,2,0.28700223002222147,-0.4748198027236199
22,1,40540,40,0,1.2508846597179601,-1.45499070501492
54,1,88161,40,4,0.22082396972499652,-0.10273389559344125
83,1,165910,52,4,-0.539185540315631,1.7663885402501178
60,1,167341,34,4,-0.3507722317785569,1.0804725618790163
78,0,90847,77,2,-0.3543702312849058,0.21122615635889766
33,0,35619,73,2,0.9587869434925833,-1.5722917621202228
27,0,41176,50,1,0.5502181730791872,-1.9046254419327107
33,0,120389,51,3,0.14694912500077492,-0.6339463000836287
55,1,74456,13,4,-0.410425976545587,-0.613235330683196
46,0,181085,64,3,-0.09648441377072484,0.6680740944112218
87,0,46613,76,2,-0.47611566204563055,-0.24465721601460957
79,1,83333,73,4,0.35020519844253495,0.7630230063161663
19,0,165788,44,3,0.20846646207616126,-0.3657640995609964
22,0,99687,51,1,0.5154681794738257,-1.1607140215749103
31,1,83755,8,0,0.09181265097007467,-1.0460909987380262
84,1,155012,80,4,0.1436457082466802,1.9795917539567447
27,1,56250,100,0,2.506130313072505,-0.37977062674749207
20,1,111933,39,0,1.0433933406991118,-0.48883501972835275
36,1,191350,99,0,1.786822006916578,1.7279041208118788
77,0,94946,92,2,0.020138747358262904,0.4352664768763185
67,0,63064,26,1,-1.18944110050104,-1.0506277032041578
26,1,82707,4,0,0.1352083237378161,-1.2157119109199686
34,0,135368,27,3,-0.5076920917508703,-0.6971272568072364
40,1,44192,70,0,1.4704368967576886,-0.6521944039186705
41,1,32923,95,0,2.0823170284619943,-0.4815807137695119
57,1,100359,18,4,-0.43088707945790894,-0.13884148133679236
35,0,28555,18,1,-0.39557076036853733,-2.314879698955055
85,0,142048,11,1,-2.303714338775811,0.269738701516528
63,0,111526,91,2,0.3220591945008138,0.36605675869961996
35,1,33041,15,0,0.32031232035108526,-1.6001005833862396
77,1,157332,57,4,-0.2269063038109836,1.5800005362320033
25,1,71927,39,0,1.040544850265047,-0.9557909667175901
28,1,194371,19,0,0.0696055018421986,0.6089122708829873
31,1,85563,28,0,0.5670370689305319,-0.7716717022563879
85,0,130091,37,3,-1.6382485844564623,0.4219612120537488
90,1,42161,94,4,0.6931692384964541,0.6663121446798347
28,1,159617,71,0,1.4366572195281717,0.7584007861076044
70,1,46295,54,4,0.2615100019930468,-0.19144131085934882
46,1,74147,48,0,0.6778653140210209,-0.37151276650942217
71,1,190491,75,4,0.2591119136545152,2.1518111633936883
81,0,124912,24,1,-1.8248805937189596,0.10241478887451032
35,1,84210,53,0,1.064183840433444,-0.3963549478447108
37,1,134784,6,0,-0.2897311879301946,-0.2155848949483652
71,1,185966,6,4,-1.3861189214838192,1.229546003070634
50,1,140875,83,0,1.1887822942118387,1.1013008311129682
65,1,177020,100,4,1.0689441217013345,2.1440524608664675
83,1,151188,88,4,0.3761179808247632,2.0033727820574008
39,0,33191,2,1,-0.904940307197196,-2.3635279168310706
32,0,163264,64,3,0.3441268279168208,0.11953489586777193
26,1,40345,23,0,0.7335501524165104,-1.5851261987511498
24,1,184070,21,0,0.2609772962906573,0.40257808345103285
65,0,44776,36,1,-0.8334174395083099,-1.229735422429734
36,0,119502,52,3,0.0922751300918313,-0.5712421234716107
41,0,113729,54,3,0.02348297605532407,-0.5239840071872792
83,0,194008,55,3,-1.3636425040238518,1.5173938145900365
61,0,60084,36,1,-0.7755028624359162,-1.0948494274650367
84,0,144269,1,1,-2.524508753418644,0.15621554582623945
33,0,109638,49,3,0.1346478855729492,-0.8124879767921074
89,0,88161,50,2,-1.294643611355582,0.06809010441385671
35,0,182663,68,3,0.2940447281706361,0.5095111434541634
89,0,91139,59,2,-1.08800466944145,0.22251862743035047
40,1,180570,23,0,-0.11492622471592756,0.7131635664013314
69,0,57994,35,1,-1.010446590816405,-0.969274360631713
88,0,172761,69,3,-1.0921240554785483,1.492597439661315
34,0,38774,84,2,1.1857303117880258,-1.369490620635388
88,1,80079,9,4,-1.424024637945601,0.1099352616345123
61,0,23888,59,2,-0.10145712261845159,-1.3264066509671668
60,0,189867,98,3,0.3111465233499701,1.5099779260549533
78,0,23342,91,2,0.20743893216439951,-0.5797478528194472
35,0,76836,29,1,-0.2917620793034654,-1.487992784274074
53,1,170065,28,4,-0.3136088600819399,0.8979445054047485
33,1,99420,64,0,1.3326505031574312,-0.08418404866423154
86,1,174987,71,4,-0.19393679880050643,2.19524364439384
90,0,117976,85,2,-0.5790359569735852,0.950281745852353
84,1,74475,54,4,-0.21361869776836623,0.5051785559588546
54,0,103099,49,1,-0.4154075918008639,-0.46527700442680175
20,1,188784,21,0,0.35419238024929006,0.3860241131968152
86,0,28187,37,1,-1.3259226399118689,-1.0137592926129997
73,0,145465,54,3,-0.9536469463439164,0.6011986236895078
35,0,120472,94,2,1.1268963294716092,-0.05635537874478514
88,0,37300,4,1,-2.2048103059726256,-1.2516673781982435
54,0,113062,65,2,-0.06360641281737092,-0.12399778700896191
19,1,150107,61,0,1.472797355019513,0.30930431100884037
84,1,22452,48,4,-0.1846463521344426,-0.31305626389453606
60,0,42834,32,1,-0.78704284913095,-1.4121359578801025
39,0,81494,66,2,0.47410464059484614,-0.8776050110954247
85,0,59981,38,1,-1.3805710237796278,-0.5678241601387753
60,0,91707,89,2,0.42166567530463117,-0.005065923511169902
85,1,31207,51,4,-0.16886242868441262,-0.12963345190737433
82,0,160112,44,3,-1.4881530912932541,0.8751537481670605
44,1,199826,4,0,-0.7451987383866975,0.836220380244113
48,1,124952,1,0,-0.6768194346645663,-0.18744059619136907
21,0,42522,48,1,0.6609923113723728,-2.0361520040593044
87,1,54581,94,4,0.7334763081738683,0.7808995337993895
41,1,68045,37,0,0.5696644209675297,-0.7003809586281338
52,0,141101,30,3,-0.9447600109568337,-0.2001584148032895
76,0,74629,27,1,-1.4489907509816915,-0.6840136169943816
72,0,70373,4,1,-1.8793227572252822,-1.1146529415336615
67,1,22820,19,4,-0.42076195474868305,-1.024973427941573
32,0,83620,77,2,0.9223221828967929,-0.8573933766938978
71,0,96598,33,1,-1.2416660964165984,-0.4003221859302308
38,1,55259,53,0,1.078960089553124,-0.7472510083852477
57,0,26527,59,2,-0.0013278842527068774,-1.3726224984942985
80,1,152277,50,4,-0.4601915699515224,1.4836939895141448
60,1,150622,51,4,0.11399908735547386,1.052764482385344
53,1,177668,26,4,-0.38706787781730084,0.9817710674755756
84,0,138972,90,2,-0.3653009144139659,1.1866505410964807
26,1,52463,75,0,1.944418619321684,-0.7656080394127902
34,0,139068,63,3,0.34622706674479187,-0.19680272433893262
67,0,193657,23,3,-1.6967803223099045,0.7788975178985578
31,0,154450,38,3,-0.2248967302760473,-0.3505915892579773
81,0,116964,89,2,-0.2343379724443806,0.7966650728394692
67,1,122895,41,4,-0.2248503393328454,0.6790183170154471
32,0,176367,2,3,-1.1914055510460773,-0.46373915568496216
32,0,118656,21,1,-0.5419189724903883,-1.0525655660520246
81,1,68370,93,4,0.8268512896642127,0.8396728787626103
77,1,105926,7,4,-1.2587374482148457,0.223722522585576
27,0,124703,17,1,-0.5221647096110615,-1.1207643002815217
59,0,147027,49,3,-0.6979344610332652,0.26759355799347734
37,0,110855,1,1,-1.1333273670772497,-1.3077290352175428
47,1,70702,66,0,1.0952378049861224,-0.17605688375699277
28,1,82523,10,0,0.225734748025559,-1.1017999045200724
63,1,42330,88,4,1.2834597330637303,0.02756048090803337
18,1,178560,90,0,2.1030300466623912,1.0554840606190432
55,1,129907,39,4,0.03042805715949045,0.5025764922456262
46,0,134580,1,1,-1.4574580732264717,-0.7797179083648107
72,0,107376,38,1,-1.1844981674349961,-0.16312341522880322
78,0,125187,95,2,-0.03567131550072413,0.925829093724119
62,1,186372,61,4,0.18103879705142611,1.730063559215543
60,0,127462,31,1,-1.0930961657993281,-0.21481750894147625
76,0,74630,37,1,-1.208369635288392,-0.5597122459475098
32,1,95027,5,0,-0.04516504686833071,-0.90126021794656
77,0,126515,52,3,-1.0475508224490322,0.38939325829736515
56,1,166446,89,4,1.084567190863696,1.667317525178364
64,1,158708,2,4,-1.200926960255811,0.6432862512770873
67,0,120643,87,2,0.0865077436544852,0.530608392251995
52,1,57458,35,0,0.2572792611453368,-0.6457431718844168
58,0,29260,83,2,0.5398334219430758,-1.014280597612205
50,1,190730,46,0,0.13234886477897673,1.3541099222814836
54,0,184263,13,3,-1.552104003118291,0.2475192114849216
23,1,142365,37,0,0.8121732635531821,-0.01571560003349559
59,1,193543,47,4,-0.09803804865538808,1.5956152133623243
22,0,129465,92,2,1.4028044685624188,-0.22546405438586503
77,1,65179,75,4,0.5132827967533584,0.48640114015978625
53,1,30343,26,0,0.10383708508765935,-1.1242222189013036
46,0,38876,73,2,0.5939354129170873,-1.2529282141976026
57,1,135290,39,4,-0.041970113789005455,0.6214958533208569
76,0,189305,39,3,-1.5423559055495877,1.1044106036333994
34,1,151112,35,0,0.43536484526973357,0.3152994084907107
89,1,66323,86,4,0.44738961132212945,0.8912903797625575
34,0,174069,15,3,-0.925397906098461,-0.2930455735855238
64,1,76655,16,4,-0.5906420771367866,-0.35564968106576333
24,1,143372,25,0,0.4928378012293803,-0.1294801372887509
55,0,111764,18,1,-1.2174468998903871,-0.705716790660129
84,1,142286,39,4,-0.8005099355166483,1.28809809098829
72,0,148326,95,2,0.050610764406633015,1.130688280039746
53,0,101061,61,2,-0.09263671107044401,-0.366250489084016
85,1,161924,26,4,-1.2059886188913929,1.4282327668256414
85,0,173245,84,3,-0.6511080986540034,1.622991748028089
45,1,196725,19,0,-0.40115983194277544,0.9993075790776926
43,0,20953,32,1,-0.2512111572217936,-2.081667399813694
86,0,109022,29,1,-1.7877743290074404,0.04233772084242101
19,0,129516,21,1,-0.22410701674149552,-1.1701282843545369
45,0,164003,51,3,-0.3251462000978542,0.2413307353895834
36,0,27840,36,1,0.012705035882628791,-2.080398792127901
51,0,145171,71,3,0.05546916356325863,0.34661375220861274
38,1,26427,39,0,0.8381576215823536,-1.3334029128650697
27,1,56203,32,0,0.8700406776868223,-1.2255946040668804
19,1,82173,10,0,0.4719770882633373,-1.2956681970333541
81,1,54017,17,4,-0.9540685579750878,-0.31008332154583523
72,1,54956,2,4,-1.0730579955000916,-0.6719561271977641
78,1,186007,97,4,0.6128121942496202,2.5080395518542926
53,1,160578,6,4,-0.8113707981153547,0.48889740545915716
83,0,178348,29,3,-1.937085028337796,0.9703895861510997
77,0,169719,55,3,-1.1193245131668494,1.0442754031708414
54,0,165825,98,3,0.5546414799233307,1.040390350147281
42,1,193045,89,0,1.377165546399955,1.7537569234844712
70,1,78287,3,4,-1.0722759482740136,-0.36798357872169585
29,0,118684,34,1,-0.14750845732076284,-0.9535471384782366
88,1,116405,39,4,-0.8231939802775255,1.0020723232975601
37,1,121849,4,0,-0.29475507158687203,-0.425346590916624
22,0,143719,41,3,0.12812370907769827,-0.6555689145696313
21,0,101576,83,2,1.3064027103629339,-0.7569773577305805
36,0,26334,57,2,0.5230345529404209,-1.8409240223826173
50,1,157555,17,0,-0.4549188664385011,0.51944473704805
53,1,74738,55,0,0.6537184006676441,-0.12916847318493396
70,1,129521,31,4,-0.5692454639769396,0.712404147893449
38,0,137145,59,3,0.14746224946690548,-0.1900665727590723
58,1,38318,60,4,0.7592331424770001,-0.48271944021120167
48,0,91467,69,2,0.2679846188658684,-0.5088909595890128
51,0,45879,15,1,-0.9611746264270281,-1.7687611601933524
27,1,52391,41,0,1.0993047320945883,-1.1682283204157287
33,0,119850,56,3,0.26905736299327393,-0.5795077026511504
76,0,170078,6,3,-2.2723498619996443,0.4194155827298972
79,1,117332,26,4,-0.8940185427680784,0.6648853943115215
52,0,174466,55,3,-0.4543751621608271,0.5875079672801965
85,0,101361,96,2,-0.12283245987691828,0.7445630414101843
18,1,98304,58,0,1.6004546455055613,-0.4894845216262215
41,0,144752,78,3,0.49760921121261076,0.21777505688287543
82,0,24320,23,1,-1.5409888388148152,-1.326979540044014
54,1,106714,20,4,-0.3222457966129112,-0.08609512790457487
22,1,194907,76,0,1.6027629015599543,1.1991006048404211
75,1,85799,96,4,1.0043471239956718,1.0001944196253014
71,1,63982,75,4,0.6806554123963691,0.3433801118664348
41,0,87073,25,1,-0.5855068624296063,-1.265460865701616
90,0,140436,10,1,-2.4585587893199787,0.33919169318355763
21,0,90740,56,2,0.6928235818168408,-1.2474517897068482
69,1,174694,43,4,-0.40378742359069797,1.4863062718779376
75,0,71474,91,2,0.1287492393421567,0.04533831276772088
70,1,56374,7,4,-0.9030093664859417,-0.6315124671377758
40,1,88459,95,0,1.9244949449048585,0.2913147666126742
23,0,133914,44,3,0.20575182809206605,-0.7374590867681468
41,0,182523,79,3,0.3958140530491257,0.770135700150213
34,1,183346,22,0,0.015145423032501406,0.6145073911686005
78,0,136769,33,3,-1.566135535980144,0.3208125287583237
40,1,20733,51,0,1.0914187101178023,-1.2236834529455416
20,0,41393,30,1,0.2588609492063706,-2.2969926707376653
73,1,36205,21,4,-0.5806215911484559,-0.6828689794982117
47,0,65662,57,2,0.09245138281104716,-1.0478998545851708
56,1,97772,74,4,0.9524607069730995,0.49920027968074443
71,0,197836,15,3,-2.012127530854971,0.8231462005152014
57,0,54469,10,1,-1.2734938484029454,-1.5822016176078761
60,0,124047,98,2,0.5304668332661723,0.5690888840775142
73,1,81323,70,4,0.44809949541931954,0.5710941172342006
82,0,39391,26,1,-1.5190199242626157,-1.074255271468795
48,1,101082,26,0,0.004279451476530439,-0.21794170601883286
77,0,109549,74,2,-0.4616442451234069,0.42029788137529944
59,1,194924,40,4,-0.27107682344518297,1.5283554901731213
60,1,178052,54,4,0.09478629862213206,1.4821591804622218
23,0,106726,22,1,-0.23302820769542504,-1.3995398684524596
45,1,198713,19,0,-0.40778409168317975,1.0277258017372364
63,1,92958,25,4,-0.4011729914647978,-0.03172688324152409
18,1,159187,56,0,1.3494601353311961,0.35597327952935115
71,1,93430,16,4,-0.8371531762141659,0.031042006790458192
24,0,42163,74,2,1.206120075267311,-1.6551824400677377
71,0,122521,66,2,-0.5339840329352274,0.3803913555609489
87,0,135385,78,3,-0.7237899604478262,1.0491853410360412
44,1,183922,2,0,-0.7403295500266442,0.5840171837345142
70,1,20908,68,4,0.6829768255297024,-0.3803435383603041
58,0,173955,56,3,-0.5919940676114773,0.718542047102397
88,0,94293,83,2,-0.49378483190145006,0.5449086543176911
26,0,21649,59,2,0.8590772117183217,-2.0928882164884723
69,0,180330,53,3,-0.9849611358554706,1.0032208911948683
73,1,37561,86,4,0.9789189614014141,0.14438087369430858
88,0,81898,73,2,-0.6931076200180037,0.24343653294768997
64,1,101560,75,4,0.7460556514786808,0.7336580699931933
85,1,44607,13,4,-1.1278857733030712,-0.4103729411188932
64,1,173348,84,4,0.7234112368851574,1.8717173280213488
63,0,127435,77,2,-0.06782577097771733,0.4194721077462731
64,1,170870,72,4,0.4429188993233353,1.6871501224617038
21,1,129790,7,0,0.18666271683514266,-0.6103049709794511
79,1,80187,83,4,0.601312503976404,0.8423383880725032
83,1,159614,8,4,-1.5769540667792643,1.1295248367762851
76,1,89407,16,4,-0.9599014343740693,0.07845874891507969
67,1,153531,59,4,0.10619075858335704,1.3406730165884408
85,0,198777,89,3,-0.6158716291182855,2.0501121779338853
59,1,78594,19,4,-0.388762341121547,-0.3955708315389423
55,1,85115,91,0,1.4309276215628568,0.508572995872408
39,1,193628,85,0,1.3606651722363015,1.6494209803160864
77,0,102407,100,2,0.18777733884883624,0.6413502420662937
34,0,89281,56,2,0.34368634145047294,-0.9955028987572695
86,1,82548,60,4,-0.15060560983702084,0.7371233915840272
40,0,103640,52,2,0.03620654894307137,-0.7140474822961606
68,0,91405,1,1,-1.9126685842934719,-0.9352291727874402
79,1,123445,66,4,0.04810998300606079,1.2494183041665894
29,1,137270,66,0,1.3635772620122248,0.39779456032216215
83,1,171348,63,4,-0.2926187304486776,1.9808398848089561
41,0,141119,40,3,-0.40465808906082346,-0.3064491338175787
82,0,127526,14,1,-2.1014458875071607,0.03647953999832487
75,0,185054,47,3,-1.3084608166188123,1.1220877177121116
78,0,107494,94,2,-0.0007785150172379884,0.6604810634136793
53,1,57688,10,4,-0.37227892407440655,-0.9321880303924601
78,1,149736,44,4,-0.5416379601383589,1.330828433442591
75,1,50256,78,4,0.6896567517063125,0.2683947408820968
66,0,134911,59,3,-0.6075527580894975,0.365578926212703
86,0,74521,6,1,-2.226248996960035,-0.7367102303846953
29,1,148755,82,0,1.7103069503896338,0.7608305860336765
19,0,161632,9,3,-0.6198708037296485,-0.8601783899724088
68,1,38528,98,4,1.4005995236238424,0.20242346781448628
84,1,22909,75,4,0.4635168769376345,0.029051602194709113
67,0,187832,10,3,-1.99018249029158,0.5340566393090618
46,0,95914,81,2,0.5963773619780715,-0.33814715283449615
55,0,153041,38,3,-0.8737380290597169,0.13290714875386356
84,1,76245,50,4,-0.3157663339070601,0.4807656641781622
67,1,129619,38,4,-0.3194428660792661,0.7378509714104237
69,0,198222,25,3,-1.7183279274036443,0.9109810818652361
65,1,119444,93,4,1.0923572993838815,1.2340094613499497
78,1,38448,48,4,-0.07456292045359027,-0.21030540980079987
40,1,97741,52,0,0.8588810572690846,-0.11043457904817101
72,0,164386,46,3,-1.1819629189410485,0.7512573894771264
54,1,91225,28,4,-0.07813499131837508,-0.20807887279333298
19,0,122126,46,3,0.4020784888554047,-0.9650497616723049
62,0,54526,76,2,0.1782841887903112,-0.6561670598830643
55,1,158515,50,4,0.19978958624919682,1.0482402206181574
26,0,154839,83,3,0.9927704766050427,0.10933591521627713
51,1,154021,71,0,0.8289981955757795,1.161061849624412
51,1,191537,41,0,-0.017883059552523884,1.3244873622199187
34,1,66604,91,0,2.064452770212891,-0.196724735859881
