Age,Annual Income,Spending Score,Income_Spending_Ratio,Gender_Code
72,107376,38,2753.230769230769,0
78,125187,95,1304.03125,0
62,186372,61,3006.0,1
60,127462,31,3983.1875,0
76,74630,37,1963.9473684210527,0
32,95027,5,15837.833333333334,1
77,126515,52,2387.0754716981132,0
56,166446,89,1849.4,1
64,158708,2,52902.666666666664,1
67,120643,87,1370.9431818181818,0
52,57458,35,1596.0555555555557,1
58,29260,83,348.3333333333333,0
50,190730,46,4058.0851063829787,1
54,184263,13,13161.642857142857,0
23,142365,37,3746.4473684210525,1
59,193543,47,4032.1458333333335,1
22,129465,92,1392.0967741935483,0
77,65179,75,857.6184210526316,1
53,30343,26,1123.8148148148148,1
46,38876,73,525.3513513513514,0
57,135290,39,3382.25,1
76,189305,39,4732.625,0
34,151112,35,4197.555555555556,1
89,66323,86,762.3333333333334,1
34,174069,15,10879.3125,0
64,76655,16,4509.117647058823,1
24,143372,25,5514.307692307692,1
55,111764,18,5882.315789473684,0
84,142286,39,3557.15,1
72,148326,95,1545.0625,0
53,101061,61,1630.016129032258,0
85,161924,26,5997.185185185185,1
85,173245,84,2038.1764705882354,0
45,196725,19,9836.25,1
43,20953,32,634.939393939394,0
86,109022,29,3634.0666666666666,0
19,129516,21,5887.090909090909,0
45,164003,51,3153.903846153846,0
36,27840,36,752.4324324324324,0
51,145171,71,2016.263888888889,0
38,26427,39,660.675,1
27,56203,32,1703.121212121212,1
19,82173,10,7470.272727272727,1
81,54017,17,3000.9444444444443,1
72,54956,2,18318.666666666668,1
78,186007,97,1898.030612244898,1
53,160578,6,22939.714285714286,1
83,178348,29,5944.933333333333,0
77,169719,55,3030.6964285714284,0
54,165825,98,1675.0,0
42,193045,89,2144.9444444444443,1
70,78287,3,19571.75,1
29,118684,34,3390.9714285714285,0
88,116405,39,2910.125,1
37,121849,4,24369.8,1
22,143719,41,3421.8809523809523,0
21,101576,83,1209.2380952380952,0
36,26334,57,454.0344827586207,0
50,157555,17,8753.055555555555,1
53,74738,55,1334.607142857143,1
70,129521,31,4047.53125,1
38,137145,59,2285.75,0
58,38318,60,628.1639344262295,1
48,91467,69,1306.6714285714286,0
51,45879,15,2867.4375,0
27,52391,41,1247.404761904762,1
33,119850,56,2102.6315789473683,0
76,170078,6,24296.85714285714,0
79,117332,26,4345.62962962963,1
52,174466,55,3115.464285714286,0
85,101361,96,1044.958762886598,0
18,98304,58,1666.1694915254238,1
41,144752,78,1832.3037974683543,0
82,24320,23,1013.3333333333334,0
54,106714,20,5081.619047619048,1
22,194907,76,2531.2597402597403,1
75,85799,96,884.5257731958762,1
71,63982,75,841.8684210526316,1
41,87073,25,3348.9615384615386,0
90,140436,10,12766.90909090909,0
21,90740,56,1591.9298245614036,0
69,174694,43,3970.318181818182,1
75,71474,91,776.8913043478261,0
70,56374,7,7046.75,1
40,88459,95,921.4479166666666,1
23,133914,44,2975.866666666667,0
41,182523,79,2281.5375,0
34,183346,22,7971.565217391304,1
78,136769,33,4022.6176470588234,0
40,20733,51,398.71153846153845,1
20,41393,30,1335.258064516129,0
73,36205,21,1645.6818181818182,1
47,65662,57,1132.103448275862,0
56,97772,74,1303.6266666666668,1
71,197836,15,12364.75,0
57,54469,10,4951.727272727273,0
60,124047,98,1253.0,0
73,81323,70,1145.394366197183,1
82,39391,26,1458.9259259259259,0
48,101082,26,3743.777777777778,1
77,109549,74,1460.6533333333334,0
59,194924,40,4754.243902439024,1
60,178052,54,3237.309090909091,1
23,106726,22,4640.260869565217,0
45,198713,19,9935.65,1
63,92958,25,3575.3076923076924,1
18,159187,56,2792.754385964912,1
71,93430,16,5495.882352941177,1
24,42163,74,562.1733333333333,0
71,122521,66,1828.6716417910447,0
87,135385,78,1713.73417721519,0
44,183922,2,61307.333333333336,1
70,20908,68,303.0144927536232,1
58,173955,56,3051.842105263158,0
88,94293,83,1122.5357142857142,0
26,21649,59,360.81666666666666,0
69,180330,53,3339.4444444444443,0
73,37561,86,431.735632183908,1
88,81898,73,1106.7297297297298,0
64,101560,75,1336.3157894736842,1
85,44607,13,3186.214285714286,1
64,173348,84,2039.3882352941177,1
63,127435,77,1633.7820512820513,0
64,170870,72,2340.6849315068494,1
21,129790,7,16223.75,1
79,80187,83,954.6071428571429,1
83,159614,8,17734.88888888889,1
76,89407,16,5259.235294117647,1
67,153531,59,2558.85,1
85,198777,89,2208.633333333333,0
59,78594,19,3929.7,1
55,85115,91,925.1630434782609,1
39,193628,85,2251.4883720930234,1
77,102407,100,1013.9306930693069,0
34,89281,56,1566.3333333333333,0
86,82548,60,1353.2459016393443,1
40,103640,52,1955.4716981132076,0
68,91405,1,45702.5,0
79,123445,66,1842.4626865671642,1
29,137270,66,2048.805970149254,1
83,171348,63,2677.3125,1
41,141119,40,3441.9268292682927,0
82,127526,14,8501.733333333334,0
75,185054,47,3855.2916666666665,0
78,107494,94,1131.5157894736842,0
53,57688,10,5244.363636363636,1
78,149736,44,3327.4666666666667,1
75,50256,78,636.1518987341772,1
66,134911,59,2248.516666666667,0
86,74521,6,10645.857142857143,0
29,148755,82,1792.2289156626507,1
19,161632,9,16163.2,0
68,38528,98,389.17171717171715,1
84,22909,75,301.4342105263158,1
67,187832,10,17075.636363636364,0
46,95914,81,1169.6829268292684,0
55,153041,38,3924.128205128205,0
84,76245,50,1495.0,1
67,129619,38,3323.5641025641025,1
69,198222,25,7623.923076923077,0
65,119444,93,1270.6808510638298,1
78,38448,48,784.6530612244898,1
40,97741,52,1844.1698113207547,1
72,164386,46,3497.574468085106,0
54,91225,28,3145.689655172414,1
19,122126,46,2598.425531914894,0
62,54526,76,708.1298701298701,0
55,158515,50,3108.1372549019607,1
26,154839,83,1843.3214285714287,0
51,154021,71,2139.1805555555557,1
51,191537,41,4560.4047619047615,1
34,66604,91,723.9565217391304,1
79,69881,29,2329.366666666667,0
53,85717,13,6122.642857142857,0
49,190332,53,3524.6666666666665,0
48,26077,52,492.0188679245283,1
23,174708,85,2031.4883720930231,0
80,156773,67,2305.485294117647,0
19,169276,95,1763.2916666666667,0
79,95639,76,1242.064935064935,0
75,124498,27,4446.357142857143,0
44,120679,77,1547.1666666666667,0
52,152295,91,1655.3804347826087,1
69,165227,27,5900.964285714285,1
66,159783,32,4841.909090909091,0
38,175705,31,5490.78125,0
64,137245,60,2249.9180327868853,0
45,194383,4,38876.6,0
73,59263,35,1646.1944444444443,0
63,95665,99,956.65,0
73,48069,82,579.144578313253,1
83,113215,70,1594.5774647887324,0
74,53856,23,2244.0,1
39,172160,6,24594.285714285714,0
86,72309,54,1314.709090909091,0
41,49545,43,1126.0227272727273,1
57,120031,39,3000.775,0
69,167306,54,3041.927272727273,1
66,89511,46,1904.4893617021276,1
40,55208,16,3247.529411764706,1
60,108863,80,1343.9876543209878,0
46,181242,98,1830.7272727272727,0
88,169138,100,1674.6336633663366,1
57,164003,55,2928.625,0
51,37102,43,843.2272727272727,0
70,55667,22,2420.304347826087,1
64,176766,68,2561.8260869565215,0
81,196637,74,2621.826666666667,1
20,184387,40,4497.243902439024,0
58,104660,47,2180.4166666666665,1
77,139804,22,6078.434782608696,0
41,174504,52,3292.5283018867926,0
86,52216,62,828.8253968253969,1
40,80082,79,1001.025,1
43,127348,7,15918.5,0
56,48666,47,1013.875,1
74,40689,75,535.3815789473684,0
82,135260,63,2113.4375,1
25,135621,44,3013.8,0
52,22771,1,11385.5,1
36,185752,31,5804.75,1
58,124853,30,4027.516129032258,1
83,25680,74,342.4,0
49,123489,79,1543.6125,0
79,123362,7,15420.25,0
36,133984,93,1425.3617021276596,0
56,50427,52,951.4528301886793,1
74,109479,75,1440.5131578947369,1
29,79914,38,2049.076923076923,0
48,70861,79,885.7625,1
61,173781,57,2996.2241379310344,1
42,124496,64,1915.323076923077,1
20,190420,69,2720.285714285714,1
34,100159,59,1669.3166666666666,1
33,54510,96,561.9587628865979,1
38,156178,41,3718.5238095238096,1
51,59939,59,998.9833333333333,1
22,145127,53,2687.537037037037,1
67,64896,99,648.96,1
84,88812,51,1707.923076923077,0
26,154753,57,2668.155172413793,0
69,159919,40,3900.4634146341464,1
19,45336,53,839.5555555555555,1
56,160231,12,12325.461538461539,0
41,144324,21,6560.181818181818,1
22,131870,14,8791.333333333334,0
69,20104,39,502.6,1
57,77952,5,12992.0,0
24,199076,65,3016.3030303030305,1
31,92650,2,30883.333333333332,1
25,170959,70,2407.8732394366198,1
55,83562,34,2387.4857142857145,1
54,172382,23,7182.583333333333,1
39,60008,27,2143.1428571428573,1
31,144867,81,1766.6707317073171,1
72,196122,11,16343.5,1
87,27167,33,799.0294117647059,0
71,168707,99,1687.07,1
69,93861,12,7220.076923076923,0
37,55490,27,1981.7857142857142,0
47,114120,15,7132.5,0
52,187849,59,3130.8166666666666,1
49,99984,63,1562.25,0
74,184858,29,6161.933333333333,1
34,160824,50,3153.4117647058824,1
72,73969,65,1120.7424242424242,1
36,138816,65,2103.2727272727275,0
28,145481,88,1634.6179775280898,1
90,114829,2,38276.333333333336,0
47,87398,24,3495.92,1
86,61327,7,7665.875,1
73,124554,15,7784.625,0
55,83935,85,975.9883720930233,0
67,60892,59,1014.8666666666667,1
78,20413,44,453.6222222222222,1
64,108810,63,1700.15625,1
43,132743,36,3587.6486486486488,0
83,104181,1,52090.5,0
34,125144,85,1455.1627906976744,1
77,32247,63,503.859375,0
59,111425,52,2102.3584905660377,1
72,38618,31,1206.8125,0
57,63778,57,1099.6206896551723,1
71,193546,63,3024.15625,1
31,30505,48,622.5510204081633,1
81,72824,24,2912.96,0
82,117130,58,1985.2542372881355,1
41,114443,14,7629.533333333334,1
58,126819,34,3623.4,0
72,160849,97,1641.3163265306123,0
80,95597,47,1991.6041666666667,1
23,73735,98,744.7979797979798,0
83,163569,18,8608.894736842105,0
35,195678,71,2717.75,0
67,122477,19,6123.85,1
29,98005,38,2512.948717948718,0
66,140084,44,3112.9777777777776,0
33,183148,84,2154.6823529411763,0
87,140111,44,3113.5777777777776,1
72,38611,87,438.7613636363636,0
61,195305,66,2915.0,1
63,170688,73,2306.5945945945946,1
69,78140,41,1860.4761904761904,0
31,153008,58,2593.35593220339,1
27,131134,99,1311.34,0
22,76090,13,5435.0,1
38,184355,71,2560.4861111111113,0
83,31241,58,529.5084745762712,0
50,91230,27,3258.214285714286,1
38,65547,61,1057.2096774193549,0
75,129187,21,5872.136363636364,1
70,91037,11,7586.416666666667,0
85,153007,31,4781.46875,0
87,152894,70,2153.43661971831,0
57,31879,43,724.5227272727273,1
36,96992,80,1197.432098765432,0
54,174665,37,4596.4473684210525,1
43,56543,81,689.5487804878048,0
87,24933,70,351.16901408450707,0
39,47123,26,1745.2962962962963,0
74,134385,26,4977.222222222223,1
45,71723,21,3260.1363636363635,0
26,158873,77,2036.8333333333333,0
44,163155,79,2039.4375,1
21,144965,36,3917.972972972973,1
31,144207,81,1758.621951219512,0
82,109643,16,6449.588235294118,1
22,100009,28,3448.5862068965516,1
53,71711,100,710.009900990099,1
69,192592,71,2674.8888888888887,1
30,196354,9,19635.4,0
64,183627,18,9664.578947368422,0
82,194775,74,2597.0,0
57,167315,32,5070.151515151515,0
22,140054,51,2693.346153846154,0
56,97860,53,1812.2222222222222,1
90,199124,11,16593.666666666668,0
34,57864,62,918.4761904761905,0
41,95094,78,1203.7215189873418,1
21,146016,85,1697.860465116279,0
21,63732,88,716.0898876404494,1
47,40378,10,3670.7272727272725,1
87,142648,72,1954.0821917808219,1
86,183401,24,7336.04,1
71,74309,26,2752.185185185185,0
20,150191,99,1501.91,1
33,139770,8,15530.0,1
64,195668,83,2329.3809523809523,1
84,196994,86,2264.2988505747126,1
66,153493,46,3265.808510638298,1
21,65829,71,914.2916666666666,0
71,68902,7,8612.75,0
48,34334,72,470.32876712328766,1
69,140446,31,4388.9375,0
42,50311,98,508.19191919191917,0
62,180947,48,3692.795918367347,1
50,75689,44,1681.9777777777779,0
82,168093,92,1807.4516129032259,1
84,90479,96,932.7731958762887,1
34,67592,9,6759.2,0
54,38854,91,422.32608695652175,0
37,63136,78,799.1898734177215,0
90,133348,62,2116.6349206349205,1
39,190374,50,3732.823529411765,1
87,131804,6,18829.14285714286,0
39,119018,38,3051.74358974359,1
80,48706,31,1522.0625,0
68,140546,51,2702.8076923076924,0
66,112968,73,1526.5945945945946,0
85,129072,61,2081.8064516129034,1
37,196133,55,3502.375,1
53,127298,8,14144.222222222223,0
57,103755,14,6917.0,1
89,62184,22,2703.6521739130435,1
63,88947,26,3294.3333333333335,1
37,180052,88,2023.056179775281,0
58,166959,29,5565.3,1
62,150808,36,4075.891891891892,0
81,102709,6,14672.714285714286,0
89,133661,2,44553.666666666664,0
19,144231,36,3898.135135135135,1
39,194799,46,4144.659574468085,1
42,191997,89,2133.3,0
58,100317,11,8359.75,1
72,96935,89,1077.0555555555557,1
24,180003,17,10000.166666666666,1
90,38784,64,596.6769230769231,0
25,143162,45,3112.217391304348,0
84,95450,78,1208.2278481012659,1
52,24667,41,587.3095238095239,0
66,67024,81,817.3658536585366,0
55,180936,58,3066.7118644067796,1
30,97533,99,975.33,0
79,152325,95,1586.71875,1
75,87225,9,8722.5,1
28,70856,59,1180.9333333333334,0
88,39342,67,578.5588235294117,1
42,40136,53,743.2592592592592,0
48,71283,1,35641.5,1
64,145973,16,8586.64705882353,1
44,34010,57,586.3793103448276,0
39,33550,11,2795.8333333333335,1
32,45918,4,9183.6,0
80,136836,85,1591.1162790697674,0
34,46580,2,15526.666666666666,0
70,179860,41,4282.380952380952,1
83,180766,80,2231.679012345679,1
31,197347,72,2703.3835616438355,0
18,132488,87,1505.5454545454545,1
86,68477,32,2075.060606060606,1
82,100445,77,1287.7564102564102,1
86,96699,35,2686.0833333333335,1
34,51610,82,621.8072289156627,0
46,129463,22,5628.826086956522,0
54,113387,97,1157.0102040816328,0
85,49379,15,3086.1875,0
49,88212,96,909.4020618556701,1
73,190422,63,2975.34375,0
60,173741,20,8273.380952380952,0
62,153858,17,8547.666666666666,1
21,33269,93,353.9255319148936,1
65,162596,64,2501.476923076923,1
83,74815,82,901.3855421686746,1
42,28411,7,3551.375,0
90,163256,4,32651.2,1
78,45558,72,624.082191780822,0
61,159298,70,2243.6338028169016,0
64,166158,55,2967.1071428571427,0
18,154195,30,4974.032258064516,1
35,76966,71,1068.9722222222222,0
18,33355,2,11118.333333333334,0
83,119458,21,5429.909090909091,0
58,30990,37,815.5263157894736,1
20,45574,88,512.0674157303371,0
78,160067,80,1976.1358024691358,1
71,129333,61,2086.016129032258,1
54,112107,44,2491.266666666667,1
29,86306,9,8630.6,0
48,162071,67,2383.3970588235293,0
36,129514,72,1774.164383561644,0
54,185161,38,4747.717948717948,0
67,114207,5,19034.5,1
19,120882,56,2120.7368421052633,1
35,181792,42,4227.720930232558,1
27,59681,34,1705.1714285714286,1
18,122518,85,1424.6279069767443,1
63,114478,99,1144.78,1
71,147895,83,1760.654761904762,0
29,30192,79,377.4,1
47,130569,49,2611.38,0
89,175733,34,5020.942857142857,1
66,48675,54,885.0,1
46,187218,81,2283.1463414634145,0
89,65850,49,1317.0,1
34,30409,78,384.9240506329114,0
43,86441,81,1054.158536585366,0
64,81651,73,1103.3918918918919,0
71,154377,32,4678.090909090909,1
42,89716,47,1869.0833333333333,0
33,170368,3,42592.0,0
24,149763,24,5990.52,1
85,75489,14,5032.6,1
26,58208,78,736.8101265822785,0
65,183468,82,2210.4578313253014,0
86,197393,62,3133.222222222222,0
69,64739,84,761.635294117647,0
23,94882,66,1416.1492537313434,1
35,93920,74,1252.2666666666667,1
45,194577,22,8459.869565217392,0
70,161459,45,3509.978260869565,0
62,151015,74,2013.5333333333333,0
57,87265,99,872.65,0
52,197380,64,3036.6153846153848,0
50,164703,73,2225.7162162162163,1
35,87068,74,1160.9066666666668,0
67,142820,12,10986.153846153846,0
20,57414,66,856.9253731343283,0
23,35821,26,1326.7037037037037,0
68,129922,70,1829.887323943662,0
31,165920,39,4148.0,1
40,96771,51,1860.9807692307693,0
74,160882,5,26813.666666666668,1
34,55983,9,5598.3,0
41,158601,18,8347.421052631578,0
66,180763,79,2259.5375,0
32,24024,19,1201.2,0
85,103010,34,2943.1428571428573,1
42,49970,13,3569.285714285714,0
90,153585,36,4150.945945945946,1
71,95374,36,2577.675675675676,0
84,33155,68,480.5072463768116,0
87,144187,83,1716.5119047619048,1
76,98844,84,1162.870588235294,0
52,48968,100,484.83168316831683,0
23,84346,17,4685.888888888889,0
80,80553,8,8950.333333333334,0
84,71621,89,795.7888888888889,0
55,135073,12,10390.23076923077,0
79,93783,33,2758.323529411765,1
70,198305,85,2305.8720930232557,1
53,146455,68,2122.536231884058,0
31,177879,20,8470.42857142857,1
64,171097,24,6843.88,1
58,166019,39,4150.475,1
48,55191,99,551.91,1
65,111980,58,1897.9661016949153,0
62,74749,94,786.8315789473684,1
20,56688,4,11337.6,1
33,98626,82,1188.2650602409637,0
46,115058,75,1513.921052631579,1
41,199456,9,19945.6,0
68,139769,60,2291.2950819672133,1
49,64643,3,16160.75,0
86,154730,87,1758.2954545454545,0
70,134646,60,2207.311475409836,0
55,169165,82,2038.132530120482,1
64,49198,70,692.9295774647887,0
88,59948,53,1110.148148148148,1
39,111425,85,1295.639534883721,0
58,115529,38,2962.2820512820513,0
49,195029,99,1950.29,1
20,188328,13,13452.0,0
31,40699,100,402.96039603960395,0
46,171943,78,2176.493670886076,0
88,121555,65,1841.7424242424242,1
25,127328,83,1515.8095238095239,0
87,178693,27,6381.892857142857,0
78,133038,19,6651.9,1
50,56604,72,775.3972602739726,0
55,189945,97,1938.2142857142858,0
85,133601,1,66800.5,0
41,92549,8,10283.222222222223,1
31,152964,44,3399.2,1
43,144656,17,8036.444444444444,1
83,132512,7,16564.0,1
69,169335,10,15394.09090909091,0
45,72217,45,1569.9347826086957,0
36,134815,100,1334.8019801980197,1
80,190903,21,8677.40909090909,1
59,169200,89,1880.0,0
34,178957,93,1903.7978723404256,1
23,187873,53,3479.1296296296296,1
